# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-Other
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"Cons-Other";"IP.PCCR";"Exports";"PEXP";"Emp.FtPer";"HStartsTotal";"PIMP";"COMMP"
6.112588388;2.854606228;5.913737594;0.844034123;4.038531886;2.846069487;2.446299702;47.43262521
7.412442293;7.746720996;-7.162964386;3.547341659;1.241847863;9.298259176;3.403865715;-23.89063558
4.107461053;-19.28945158;8.807365469;-1.163903468;0.334770528;13.83689527;-3.352007911;-8.455232797
11.1209759;-1.834024304;-0.355713674;-5.101109758;2.348664325;-1.953874647;-4.074692506;5.15261089
10.11279218;9.446397229;8.645289264;0.933838765;2.962486844;16.74376204;-2.180407083;-1.237849037
6.211419757;-39.20272426;0.909805888;7.634636839;4.662538977;9.621278128;5.577662408;-22.12969152
2.450517425;36.68132915;4.947476057;3.872613542;1.778349908;-11.37339441;3.717695541;-9.384680503
9.013450323;4.670012632;2.919720993;7.191319626;4.41881106;-3.241584498;6.043122675;4.255138242
3.47859145;6.025811785;2.781461675;18.04935676;3.811169816;16.92626193;18.14811729;1.496255172
10.46449634;-12.50660162;2.024926443;4.843454604;1.97836958;-11.47205524;5.371601459;-3.386138438
8.58343562;6.837773344;-0.375653778;11.45554985;4.114366466;0.578735981;10.84120158;12.79721305
4.223620906;7.423986858;11.38353121;-0.092749186;2.400490128;-15.20050921;-1.030194019;18.627049
-5.540022246;-7.067321653;6.769449978;15.42964985;1.828868071;-71.07640469;10.53723169;31.64971081
-2.986354755;-11.94118526;-6.360287859;-11.8634591;4.524717511;-29.21613059;-13.89396774;7.1582662
1.665606826;-35.30574119;-2.94901365;-89.44175649;-2.37815086;15.22948762;-87.4570186;-10.07017985
6.326902896;-29.98281298;13.62061723;4.861397172;-1.149196631;58.40193489;5.665050806;-107.797148
2.861194933;36.35110669;-7.719190565;45.80872464;-2.133533616;24.00504676;46.10597114;-61.48548992
5.007477684;-0.790514091;4.971475277;26.70028152;-2.709413699;-16.23875152;27.72369712;84.54554655
7.138411382;15.14008965;9.610822265;25.11125645;1.373660315;-36.59971786;27.21794549;22.45316897
3.266893009;13.11592913;11.99431472;2.263431733;1.49127202;-58.87845013;5.892389907;35.37300181
7.645758409;-20.03252797;5.922510799;-5.0051329;3.31957888;-21.851922;-3.613638194;51.0621916
7.010648631;-11.80026576;-8.296300653;1.317239217;3.611754901;2.748645866;2.911902534;-58.87913154
0.153721996;27.75679737;9.842201849;21.91976496;3.73086173;14.98403325;22.28835267;-41.49805433
2.573735421;-17.89922606;-20.90451754;4.593687291;2.867966877;-17.93501319;5.230932749;56.64748329
4.796657357;19.01498689;9.176714922;15.38777938;-1.034977557;15.04651339;13.1988226;-15.28329875
3.515251527;13.15186965;13.07915526;-9.930624308;0.761273417;6.612329379;-8.059692627;-15.12933338
2.653458842;-15.01320386;11.27247928;-5.993060446;1.112234674;17.97660907;-5.178087786;-31.39079046
