# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-PtPer
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"Emp-PtPer";"Cons.RenDwe";"Cons.PurVeh";"HStartsVIC";"Cap.IntPro";"Gov";"Gov.NatLoc";"RetSales";"LabForce";"HStartsNT";"ExrateGBP"
0.827737344;3.186068461;24.52335301;-6.916985925;8.271165726;1.049208016;-1.5231721;8.930100905;1.499555039;-6.36055805;4.305584017
5.211595582;3.309608604;20.25749313;14.65349094;3.058118871;1.145200111;1.27830701;9.114134709;1.013436085;-4.29726604;11.4060685
2.260185843;3.552727975;7.977105801;-16.74758851;6.746541302;3.677000782;2.147121174;7.727651353;0.15705098;-25.26373378;11.48025324
4.891142016;3.314446201;-9.670092213;1.201202331;15.08873481;2.842997916;2.811064117;5.35755699;2.431188111;-67.9738191;-27.34382334
6.814923301;3.395915003;-2.618667291;-5.307897466;9.689383761;3.312898664;3.221119429;5.843828576;2.695634911;0;6.181804526
5.618132947;3.367326943;-4.62432896;22.03885778;8.450691557;3.683568945;2.179155458;3.636123621;3.657882947;60.61995926;19.20602505
1.62530564;3.600405805;19.95878846;-2.503682152;4.477488214;4.704680781;5.761955399;7.981772078;-0.616247436;105.1860182;23.23356488
-2.755543965;3.4977033;28.53998934;16.33622315;2.084518142;5.441729693;5.765577639;10.45903032;0.33029836;-59.46410965;9.572538252
-1.168290417;3.444055717;1.76185867;-5.743645009;7.965359974;2.658690109;4.031729084;11.45186793;1.54489796;31.15848333;12.54446908
-0.59789254;3.541850085;-3.53151205;-41.38398304;-1.420329943;5.64488487;3.452808783;6.043434326;0.461776392;28.90577651;-2.61856244
4.067898885;3.224152409;-4.398914894;-13.40733472;15.78062334;0.387166597;-0.755384586;4.197735071;1.811341876;11.81769849;-23.45368523
0.552418101;3.744105871;15.24664194;16.97658544;2.386540214;4.909425052;0.683504626;5.41706176;1.568497057;70.05564186;-1.975313337
6.259755645;3.270127547;3.323325233;4.833193775;8.408970597;2.287001746;2.150799781;0.077721046;3.280892462;12.27163911;17.30541308
4.578591347;2.896936085;14.45737979;33.14102182;10.7548808;4.579354228;3.748100013;2.058419692;4.02802185;-14.72262722;3.158982103
2.834636879;2.976063218;0.220082537;17.00302805;8.495610872;-0.051577251;1.484756455;1.406368776;3.517061409;32.56514486;4.451658854
5.576832623;3.020218185;7.951248877;-9.891308184;9.714539351;1.735233044;4.74706691;5.035899958;2.098297341;57.13456336;11.60326433
2.206340022;2.877236214;-3.248528954;20.36848054;9.937449748;5.385446492;7.119388467;2.36834211;1.160275072;14.0907211;-2.124673328
0.317534502;3.128209194;-10.24144038;-9.053430181;9.401663915;3.366240527;5.848786551;7.393433363;1.783562197;-10.37522142;-5.679224602
4.636132346;2.877632424;-1.005165962;11.99999999;19.22097159;8.184719502;6.285452876;9.24717565;2.642891897;-11.05151699;-9.583221924
3.404432273;2.760743036;5.221571162;20.06783761;24.46891697;-1.698456501;-8.123810615;4.91904679;3.662471416;-29.90494379;-6.133027785
2.103478796;3.018157841;4.281638246;-12.55322205;12.04812284;3.326700318;-0.894032144;6.358932224;1.229580006;-69.02322181;0.165214492
