# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Unum-LFT
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Unum-LFT";"RGDP";"Cons.OpeVeh";"Cons.Other";"Cons.Final";"DomSales";"Cap.MacEqu";"HSexfinVal";"IP.Man";"SPASXAllOrds";"IP.PCCR";"Emp.PtPer";"Emp.HoursPt";"X90daysBkbills";"M3";"Credit.Per"
-23.4842729;4.399723993;-3.010410281;6.576582589;2.390868219;11.05363471;0.101419879;9.323164234;5.272694681;-25.80237895;6.546790986;3.40922362;7.319682441;0.133333333;-0.531259109;-3.635334574
-24.63059194;3.726767862;5.139692875;8.345861029;7.740457104;12.03860676;17.07243368;-39.09013136;3.791497582;4.995406506;7.717281174;8.695379876;9.743383622;0.683333334;-3.545340533;-13.36103031
-18.0760705;2.182597148;-0.65785327;4.236239851;2.920979076;8.346034636;15.62661498;-31.7968135;-3.315590328;-22.78648549;-10.32315358;6.726460566;7.605984664;1.54;4.897243593;25.38637422
-12.10546308;0.974880226;1.163159047;10.21171122;4.479523371;0.185952017;4.460494589;-43.10767357;-5.748601935;-14.72508469;-2.622960218;5.280536969;5.613794843;1.006666666;-3.654955516;-5.798947243
-7.811053153;2.780429109;6.908807544;-5.073269291;4.762130236;12.56626554;21.14752452;2.673243142;2.884627886;29.34150995;21.76536869;3.647934492;4.579528901;-0.48;0.207577977;3.736821493
-2.770307341;6.969566125;-1.043673326;7.802385166;0.688295184;0.799906944;-14.27607748;11.48696028;3.81409326;19.14444448;-18.70691578;2.53390266;3.922501702;-0.17;0.376661596;-1.866170247
5.325668349;1.971571475;-1.445754674;6.803197778;4.269111246;-0.799906944;-13.06445823;-1.852834626;6.588384238;3.144948801;18.70691578;5.62020423;2.134611011;-0.09;4.923007909;-11.30208232
-3.828199059;7.334729;7.961199812;5.612221506;3.716175479;10.83495568;63.7597335;13.63021657;8.314387104;22.27833912;28.06762293;0.111997629;1.76181038;0.033333334;-3.510355444;5.835044616
-3.887385671;0.929123174;-4.975740002;4.528575109;2.694262505;-1.287931643;-3.012213642;-13.31351569;-9.248966968;1.22679642;-5.065825137;3.247436713;-0.158165108;0.076666666;-2.861906745;3.904410569
8.824371483;4.861530801;-1.340700157;3.12801299;0.874654667;-1.442454386;-20.85270482;13.38722244;6.496662531;-5.048596586;-20.9303276;0.907185391;3.474718029;-0.433333333;2.081433618;9.07210996
-0.369254144;2.893411827;3.762403977;2.870335228;2.963001797;2.451035993;-0.297413578;23.85135049;2.752304437;24.40554539;27.15613422;2.074211109;5.072053159;-0.703333333;3.657337051;-12.08784201
4.193726222;1.160005411;-3.613215189;5.679608606;3.919078325;10.62608075;-2.344547662;28.177318;-4.135591118;7.331113595;-16.15187426;7.707738848;9.098684689;-0.5;-3.849212824;1.985681324
-5.412509493;11.91947646;4.990491513;4.520468682;6.368114186;6.559118873;75.79703644;9.970747088;5.504674029;27.97380427;0.40180817;1.732964695;1.438129536;-0.173333334;0.001445529;-1.961991694
-3.832810534;-0.078847118;12.61507317;2.156339454;6.075749725;4.666688653;-20.6141403;15.51482666;6.327815578;13.59981729;8.346055386;2.242317601;3.414245385;-0.8;-3.368491244;-1.364707676
-14.9319585;5.559877233;-3.68049439;0.622040134;4.880166961;15.73419555;4.518148213;8.439612613;1.343034278;-28.07037562;2.74376382;6.212430865;5.39251737;-0.003333333;1.313929966;7.847323766
-2.061269949;4.383223179;9.11503956;6.557064518;0.650935864;8.174543774;18.00159781;-2.766939902;0.44667788;28.23339638;-4.32012054;1.263139391;-1.025027881;0.023333333;-0.308962259;0.068909007
