# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Gov
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=3)
# prediction_type; rolling
Gov;Cons-Other;Cons-Final;HSexfinVal
5.84976417;3.266893009;1.351573579;-48.51787528
5.003172503;7.645758409;5.555316099999999;-21.05290393
-1.121054148;7.0106486310000005;3.5125790460000004;-5.285709074
6.408200016;0.153721996;4.2545766789999995;1.5713262119999998
3.1843777939999995;2.573735421;2.603698419;-12.21836696
4.19668392;4.796657357;3.0555855710000004;6.045715179
2.7775373510000003;3.5152515269999998;1.582090143;-7.357629894
2.7105737739999998;2.653458842;1.03424264;7.818483883
5.484579172999999;1.838129532;5.179941135;-6.009036541
5.020532953;1.594098051;1.688684422;7.34455614
-8.377146329;-1.860399795;1.7450118680000002;11.45567516
-1.465115839;-1.6609841459999999;1.224275362;5.053933163
4.137302698;3.66866477;1.210988774;21.56035764
0.719796055;2.963519882;1.359660155;14.88382297
3.970910882;-1.376332849;3.215747092;10.40757382
