# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;LabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"LabForce";"RGDP";"Cons.RecCul";"Emp.JobVac";"Cons.Hea";"HCE.DTA";"InvLevel";"Currency"
3.077722316;2.258276194;5.399066959;10;5.730579848;-5.058462644;5.309133305;-1.47615711
2.486332887;4.970717944;4.521991315;-5.1;15.6930083;-1.2629349;11.39851356;-0.404243383
3.145052268;1.356216846;-6.543500994;6.3;-0.86682461;8.370163109;12.60616594;-0.056119214
1.97393257;2.772254116;-4.182846341;-5.933333333;11.04806202;-0.926304615;20.18101402;3.565121155
1.624146463;-3.246171797;6.418810239;-5.933333333;0.575125908;-15.27090827;7.505808134;16.8026119
3.678392413;3.979643032;-3.272177981;-5.933333333;-4.546817091;-6.279224487;-9.895733766;-13.85201418
1.37188921;1.931596097;6.305084437;-5.933333333;6.68667699;34.49563206;-10.47314446;-4.40305293
0.575865179;1.611806653;-2.818567153;-5.933333333;0.685388078;-21.62511528;-3.895427746;-3.60028023
1.531212494;2.88338048;1.881249793;-5.933333333;10.4389666;11.20006884;-9.076073123;-4.683736164
1.747266166;1.523026721;2.360390678;19.5;-3.948258148;-12.81566337;5.499352016;7.275511679
0.999302508;2.435515384;13.71324712;2;14.23009567;-5.115336675;3.171882502;-2.365758659
2.723259236;1.991786174;4.806085718;8.1;-2.282304793;15.13155707;3.940947992;-0.313261547
3.220689095;4.390007135;7.639138468;12.6;9.939068096;-9.692991557;-1.741767517;-4.27220778
1.242564353;-1.500973447;3.007384202;-1.7;7.930084287;7.162608114;12.33994769;5.666590698
-0.283091943;5.333531171;10.13993529;-2;2.217415813;6.596931564;13.68259975;-0.607818606
2.289557476;4.657879989;1.285526949;-4.1;10.67093579;-3.846230233;-1.15638982;0.237882906
0.831473872;3.97991576;-1.727781531;-4;-5.862772807;1.908902553;4.813475452;6.993908879
1.646586644;4.117594698;4.990146692;2.6;12.13793488;-10.79891466;3.58825956;-10.88520539
1.208188205;2.328691535;1.990101004;-3.7;8.389624273;3.986468925;3.128862055;9.530383746
1.359173884;2.215612944;3.538680083;-3.1;10.65620397;-6.83249795;-1.348098181;-2.796770596
1.516368419;2.222377647;-9.097762467;-10.1;7.073736771;8.457546729;2.224378424;-2.401109828
2.488517448;0.952585653;2.312973877;-15.1;4.780134756;7.521563381;0.149483435;2.701999707
1.144612461;3.113451114;-4.793691426;-6.4;0.520813462;-9.160729559;1.572979361;-1.112531772
0.395070432;1.34967792;1.348034592;-3.3;1.466882231;13.08913953;8.820629321;3.519056887
0.477952536;3.447181698;3.902843283;-1;3.704292452;-9.354401094;-1.307437707;-4.231308102
1.843963353;3.574058921;-0.323786414;4.4;7.959568438;-9.418611546;-0.228510701;2.252934514
1.334757259;2.482873349;6.670127868;3.4;2.775328524;6.790045922;-3.432695537;-1.972031435
2.189523312;1.519985819;3.581779366;-1;2.317656563;-1.891256478;2.346815953;0.368969919
1.293977475;2.185723381;8.79842613;4.5;6.557048258;0;-3.880470565;1.678434341
