# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-ME
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"IP-ME";"Cons.OpeVeh";"Cap.IntPro";"ExrateJPY";"Unum.Total";"Cap.MacEqu";"PIMP";"IP.Man";"IP.MP";"Emp.HoursPt";"EXrateKRW"
0.553633306;12.61507317;-9.002194828;-15.50894539;-6.400971501;-20.6141403;-10.03813196;6.327815578;1.489759636;3.414245385;-10.55903723
9.836561255;-3.68049439;11.72086027;-9.886566798;-16.15495812;4.518148213;-7.392215277;1.343034278;-2.486024161;5.39251737;101.8936624
5.894279462;9.11503956;12.90887193;4.45682738;-6.348609403;18.00159781;6.174728903;0.44667788;17.56379705;-1.025027881;73.3306779
2.650771795;5.083727264;8.064513719;-0.927644201;-4.645466266;-28.48580569;-21.8266904;5.321586251;1.429423796;5.643832861;-68.05581479
0.528052882;7.756539299;-15.45019646;-14.61241743;4.979201337;3.050431391;-14.34500833;1.758244589;-2.385218755;0.63324552;-39.88021656
18.56003024;8.766858367;10.41183197;-47.8664818;-20.96333625;-3.731475824;-9.39244637;4.795697771;2.385218755;5.53619022;-0.961834087
-21.20729338;1.774822657;1.231401691;4.981294883;-16.48669889;4.106464133;10.51722353;2.591801724;0.475341708;2.904117871;-12.13598339
-34.94945208;0.61933213;0.409626252;23.12341066;-12.06578409;-8.791562688;18.67494658;-10.91175137;-2.860560463;3.394775644;7.683928953
31.74943502;-6.461456158;7.570351002;-38.75879976;3.778635109;17.87064994;-2.061933611;1.325235889;-8.706510593;3.854846915;3.585448534
-7.567793298;4.289585345;2.536300839;-30.29558689;-13.05152208;9.557880747;-8.883162049;2.199015984;-15.45363527;8.11314916;-14.67363831
-0.54607517;-0.533689205;9.987378227;0.300578628;4.14312302;1.071812002;-0.607464759;18.00947255;27.02070633;5.295871719;-31.29262268
18.68251496;2.705560018;18.63750195;-25.7072554;-21.76383119;28.20323633;-19.72083574;-6.765488977;-35.23665627;2.767507713;-22.40227036
12.32446656;1.720243044;28.67755048;-8.244154763;-14.66838639;7.771070887;-1.889335231;7.18455659;3.100790722;4.144718782;-15.89670756
-0.506008923;-14.70358281;15.82574307;-12.46882965;8.95190535;-24.92504733;-20.77154427;1.254574996;33.08485769;-5.522394617;5.413171587
-6.637038037;12.18687933;17.45771032;17.49598139;15.77405252;9.669594817;3.685233734;-9.720499473;-32.05657949;12.02905385;16.03968482
-2.064520712;4.580034625;6.420345703;2.083282091;32.75013359;2.263423969;-3.103828841;5.101025559;9.137453168;12.9482817;-1.717464146
4.630276783;-4.757241406;-0.208877289;-3.528611942;2.912171104;-2.873697015;-0.67637368;0.84388217;17.19110481;9.711572965;-0.672137141
-3.596684477;5.457230647;8.271165726;16.98782559;6.687492967;6.361896213;1.945702359;8.754909155;25.6050166;-0.380589048;-0.284085913
3.596684477;4.304155436;3.058118871;27.91737391;-17.31314946;7.148957457;12.06667421;3.694228413;0.450704273;6.26832091;13.45640524
20.92631575;4.856880173;6.746541302;-0.463857802;-16.29454977;11.82925342;14.60442398;3.660422087;-23.181457;2.036354266;3.656784755
-19.39472485;6.357412907;15.08873481;-20.024995;-4.260624499;-1.915406693;-12.58578631;0.808898152;8.500910264;9.204973638;-17.29059419
20.8483909;-0.252365939;9.689383761;13.67039518;-5.906015905;57.84787584;8.532922147;6.412963012;20.04975487;8.775863337;8.773239337
24.39208106;2.809088637;8.450691557;18.58121225;-1.936730034;-11.20427047;16.3078398;8.653238142;-7.175080275;5.91968713;26.60221819
12.54302097;4.610882355;4.477488214;32.87895047;-2.034839909;-2.084304655;24.59729538;-5.090621816;23.71715455;0.997256701;30.72240867
-5.327492736;-3.401098881;2.084518142;-4.936832055;-9.196322991;22.97308593;12.49315662;-1.975312656;-7.3159651;-3.621847207;-5.744917452
1.783726479;8.24516465;7.965359974;12.45015594;-11.32216185;-8.412737542;22.53225484;4.332883332;-13.24624351;3.787803186;47.33510521
3.984537652;4.180869155;-1.420329943;14.28901776;-11.60393944;-3.075765908;19.77569405;5.833841862;4.908037037;0.104045075;12.45600911
2.196600797;-0.20194881;15.78062334;-20.06122229;-6.369908486;7.795584681;-20.25095589;-3.490085156;-6.257110828;3.600186375;-32.01135901
-20.67876153;18.66676552;2.386540214;2.87943655;4.805008335;19.3822436;-3.434726881;-4.307432716;-6.814474861;0.814116968;-3.493188154
5.498368362;4.104567304;8.408970597;8.66642849;-22.39821293;31.78711238;15.50458578;-1.577911316;8.163548652;4.709481305;0.987682993
19.97086958;-8.251690348;10.7548808;10.39233711;0.713694244;-9.817039936;7.939865132;1.577911316;15.41192287;9.765397991;-13.60799894
8.565637802;2.408241883;8.495610872;4.259753189;0.178224732;24.01245828;2.446299702;-0.393894665;-44.2616318;1.263343626;-8.220067511
13.33456811;-5.576497825;9.714539351;9.755998914;-5.1236771;13.95503598;3.403865715;3.14034979;11.88441546;8.447286884;3.646788868
