# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Cons-EGF";"Cons.Food";"Cons.RenDwe";"Cons.InsFin";"Cons.Final";"IP.MP";"Emp.HoursFt";"Emp.HoursPt";"Emp.HoursPer";"UrateLabForce";"HCE.AVCE";"PEXP";"PIMP";"ExrateNZD";"ExrateSGD";"ExrateMYR"
2.531377788;6.072634423;2.374583518;4.173405186;1.816838897;33.08485769;-7.472597416;-5.522394617;-7.238390236;-113.000001;20.75925281;-19.01217861;-20.77154427;-10.30918806;-22.58213422;-26.44861899
4.843302415;-1.806724344;2.55239511;0.093636612;3.9823652;-32.05657949;-3.343513321;12.02905385;-1.461821263;77.666668;0.078800282;9.11124164;3.685233734;-18.19751575;-4.888869535;-7.841292942
12.35815601;9.349340474;3.018689994;-0.312207322;2.928703691;9.137453168;-1.574351246;12.9482817;0.262429829;69.333332;-14.85990995;-2.025218961;-3.103828841;4.810283645;3.188884697;-8.893650437
-11.15643836;-1.534291941;3.021267425;-2.003918086;1.260611179;17.19110481;-1.710923535;9.711572965;-0.224841797;-83.999999;11.28847522;-0.172818617;-0.67637368;-8.228688035;-9.49608134;1.129457957
2.98859326;0.291438993;3.186068461;-4.006500628;2.870532357;25.6050166;0.454248256;-0.380589048;0.344360275;9.333333;-4.104774282;4.306167183;1.945702359;6.365489394;16.42340518;1.379939065
2.881978986;10.89444607;3.309608604;0.316932114;4.857811753;0.450704273;3.95281874;6.26832091;4.258047978;-11.333333;2.748705819;15.18774044;12.06667421;-4.701784601;5.285954818;5.148006094
0.253298161;5.782740003;3.552727975;4.2855302;6.665551306;-23.181457;-0.606676358;2.036354266;-0.256415451;-21.000001;-0.476360822;12.96250209;14.60442398;-13.71093001;17.66805512;28.7897756
8.35277793;-0.610143756;3.314446201;1.688953952;5.301534301;8.500910264;2.053413647;9.204973638;3.011302469;56.000001;-9.079013604;-13.12250969;-12.58578631;-4.661527487;-11.85715165;-6.608467841
9.637052491;0.965631623;3.395915003;-2.818898206;1.737539097;20.04975487;2.358115969;8.775863337;3.230421213;6.666666;-7.652633531;10.03360334;8.532922147;-17.13872035;7.058765305;8.636936694
-16.38932286;-3.287585007;3.367326943;7.442509672;1.901560332;-7.175080275;5.843783458;5.91968713;5.854183008;24.666667;3.626906217;15.97392513;16.3078398;-12.73413587;24.90417108;26.92380792
9.717077028;1.353985007;3.600405805;0.462516914;4.345586983;23.71715455;-1.375245191;0.997256701;-1.049647657;-106;-7.322250919;25.89263071;24.59729538;17.02025147;33.00184954;31.07669726
11.40507955;5.672417166;3.4977033;13.24513933;5.175816747;-7.3159651;1.280373266;-3.621847207;0.609433075;22.666667;-5.060111056;10.39629344;12.49315662;-0.307164998;4.642398711;6.210094289
8.989142341;3.529765997;3.444055717;14.69290145;8.216166005;-13.24624351;2.690211823;3.787803186;2.839817014;31.333333;6.519250251;21.23883356;22.53225484;4.723076667;32.75147305;39.02809071
6.189678633;8.165814434;3.541850085;5.678306291;6.119111563;4.908037037;2.923875116;0.104045075;2.540236986;-27.66667;4.937371835;19.99712969;19.77569405;-1.568170645;15.18041668;21.28239161
-3.857310509;8.45697463;3.224152409;5.179523461;3.900853069;-6.257110828;0.870888507;3.600186375;1.242173393;34.33334;-2.227039642;-20.53783261;-20.25095589;-2.835931449;-27.89264939;-30.58917872
4.930724992;2.146055818;3.744105871;0.81025418;5.303823523;-6.814474861;-0.516749941;0.814116968;-0.334898278;-6;9.861138083;-3.403165095;-3.434726881;-16.834944;-1.436505204;-2.030977902
3.886114955;0.285272804;3.270127547;3.141632136;3.829376698;8.163548652;5.276863939;4.709481305;5.199275864;43.66666;4.885297259;15.20655433;15.50458578;2.357860199;19.08674448;34.10406549
-6.343879984;-3.149246853;2.896936085;4.871899208;0.233313997;15.41192287;3.782699897;9.765397991;4.60561214;19.66667;-20.39124211;5.901161689;7.939865132;0.048974839;4.136845755;5.894704999
-14.03377645;6.462483167;2.976063218;13.66183213;5.404922828;-44.2616318;2.998220568;1.263343626;2.758468936;-12.33333;20.79358757;0.844034123;2.446299702;-4.729119123;-0.250770605;-6.25601507
15.34134419;5.547030177;3.020218185;6.867796494;2.754253805;11.88441546;1.190573114;8.447286884;2.199305212;-36.00001;-1.150049318;3.547341659;3.403865715;8.276030456;-2.053866191;-9.496420926
2.449768423;-1.397055964;2.877236214;3.493245994;2.154680085;-4.237826573;0.348804296;-0.02343173;0.296687114;-24.33332;-7.037725713;-1.163903468;-3.352007911;-13.37529405;-7.390436894;-6.880995714
-0.534606285;1.443540566;3.128209194;6.440210676;3.423062252;20.75393415;-2.203908838;-0.505782249;-1.965798578;16.66666;7.491018291;-5.101109758;-4.074692506;24.3509536;-17.32127937;-9.390408281
