# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; 90daysBkbills
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=4)
# prediction_type; rolling
90daysBkbills;Imports;Cons-Final;Cons-Other;HSexfinVal
0.07666666700000001;10.03976906;5.404922827999999;6.112588388;-11.79658064
-0.066666667;-1.062527862;2.754253805;7.412442293;18.59124864
0.0;10.888818800000001;2.154680085;4.107461053;22.24731459
-0.013333333000000001;7.786055951;3.423062252;11.120975900000001;8.665341423
0.223333333;14.91774835;4.806048562;10.11279218;21.82653457
0.31;-4.596514838;3.701804759;6.211419757000001;2.299096065
0.196666667;20.13368552;5.3097325;2.450517425;-13.08778384
0.06333333299999999;16.91294799;8.382409828;9.013450322999999;21.40586428
0.013333333000000001;8.313001868999999;3.575477029;3.47859145;42.91927876
0.296666667;10.97413963;5.4694901929999995;10.46449634;-2.838613441
0.39666666700000003;12.37092721;5.965596282000001;8.58343562;-8.941989508999999
0.47333333299999997;18.13184745;1.83758818;4.223620906;-22.89364676
