# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=8)
"Cons-RenDwe";"Cons.TraSer";"RetSales";"X10yrT.bond";"X5yrT.bond";"HStartsACT";"HCE.MV";"AveComp";"X10yrNSWT.bond"
3.552727975;19.45277954;7.727651353;0.133333333;0.236666667;61.45336644;-6.993051521;6.909594142;0.313333333
3.314446201;18.85246549;5.35755699;-0.523333333;-0.503333334;-33.32564985;-0.385286795;3.56410857;-0.423333333
3.395915003;3.007532966;5.843828576;-0.13;-0.27;37.64834725;7.763625111;-0.888054331;-0.226666667
3.367326943;-6.139257512;3.636123621;-0.28;-0.313333333;-4.167508275;-5.994493523;2.250453468;-0.323333333
3.600405805;-29.23771493;7.981772078;-0.18;-0.1;-20.04395458;-1.78978901;7.745001622;-0.186666667
3.4977033;30.35178072;10.45903032;0.36;0.41;14.73345098;2.115955173;3.585681382;0.373333333
3.444055717;9.49451196;11.45186793;0.326666667;0.53;-35.14775114;-1.088609882;6.003311109;0.376666667
3.541850085;22.09445139;6.043434326;-0.166666667;-0.173333333;-77.00078281;-4.404421079;5.336646775;-0.153333333
3.224152409;-1.498129092;4.197735071;0.29;0.12;-12.04210298;7.279545767;2.881164918;0.253333333
3.744105871;7.987263295;5.41706176;-0.3;-0.173333334;-22.27083823;-7.040478191;7.708341528;-0.28
3.270127547;-1.566280937;0.077721046;-0.226666667;-0.23;-13.37300338;12.97750741;2.557513586;-0.223333333
2.896936085;6.228658028;2.058419692;0.123333334;0.22;76.1977594;-11.50040123;3.528615315;0.186666666
2.976063218;5.6853749;1.406368776;-0.166666667;-0.153333333;-8.619334502;1.433818682;0.800431268;-0.163333333
3.020218185;-0.537996046;5.035899958;-0.1;-0.11;18.19375045;2.995872842;6.830475472;-0.113333333
2.877236214;8.610118299;2.36834211;0.196666667;0.186666667;-7.255568877;-3.433448094;3.162071803;0.186666666
3.128209194;-5.838228365;7.393433363;-0.126666667;-0.116666667;2.497006889;10.26793767;6.072900752;-0.12
2.877632424;19.05329184;9.24717565;0.42;0.436666667;1.71961096;-9.492306665;1.415617492;0.416666667
2.760743036;6.4055309;4.91904679;0.043333333;0.14;59.58489866;7.205458562;2.670099773;0.093333333
3.018157841;15.09613119;6.358932224;-0.076666666;0.016666666;11.65602506;-2.2824185;11.84225936;-0.08
2.953371009;19.33198835;10.06795054;0.153333333;0.156666667;14.87742433;-0.003191944;5.722235636;0.133333334
2.711803533;27.78122591;4.264375987;0.2;0.183333333;11.5159469;-2.256701073;7.705872018;0.223333333
2.537436883;11.98538729;10.27094559;0.013333333;0.04;-0.448346768;0.751525261;3.797972452;0.213333333
2.593840957;21.03790262;6.505515881;0.113333334;0.21;-13.99914651;-0.000355328;3.115175058;0.16
2.52574904;1.184406195;1.086091464;0.016666666;-0.11;-9.877045036;-1.514075875;4.053862007;0.093333334
2.499687992;-8.969730555;0.62858446;0.22;0.09;-3.827780406;-0.390118527;7.855576969;0.136666666
2.474014275;19.28242174;2.877399668;-0.413333333;-0.5;-23.0896739;-1.165271499;-0.052386877;-0.313333333
2.640340387;-22.45302608;8.439879848;-1.166666667;-1.626666666;30.39436279;-3.537042044;-0.183408119;-1.056666667
2.753226304;-10.29039772;9.720221025;-0.57;-0.67;68.39211083;12.03966252;0.261985862;-0.3
2.883560549;-16.52863924;7.571974528;0.8;0.933333333;28.53327627;-3.513059814;-2.416767055;0.696666667
2.951750512;11.21201673;-4.148195402;0.423333334;0.706666667;-42.15792826;-0.389621674;6.481683804;0.073333333
2.910533982;-0.845964362;6.613947523;0.016666666;0;-29.75931604;0.379276439;3.356157549;0.016666667
2.889508856;1.057176195;0;0.09;-0.003333334;-54.55450866;-4.218430335;4.651809616;-0.07
2.897755777;14.51437742;4.985336008;-0.016666666;-0.006666666;-51.07174615;-0.405941423;9.442336867;-0.093333333
2.924847668;20.05548668;4.115120836;-0.496666667;-0.483333334;-2.510266544;4.254031253;5.104720801;-0.5
2.703713555;13.39488804;-1.308045705;0.303333333;0.416666667;21.12702237;-3.101156114;5.354832313;0.316666666
