# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-EGF
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=4)
# prediction_type; rolling
Cons-EGF;Cons-Final;PIMP;PEXP;Exrateavg
3.886114955;3.829376698;15.50458578;15.20655433;17.271976199999997
-6.343879984;0.233313997;7.939865132;5.901161688999999;5.039436735
-14.03377645;5.404922827999999;2.4462997019999997;0.844034123;0.20860493800000002
15.34134419;2.754253805;3.403865715;3.5473416589999998;1.041396079
2.449768423;2.154680085;-3.3520079110000003;-1.163903468;-4.181951338
-0.534606285;3.423062252;-4.074692506;-5.101109758;-7.425299361
7.495251004;4.806048562;-2.180407083;0.933838765;2.9866805
-18.18320534;3.701804759;5.577662407999999;7.634636839;4.228369205
16.15293498;5.3097325;3.7176955410000003;3.872613542;6.673773184
17.55120247;8.382409828;6.043122675;7.191319626;1.8571093459999999
7.646503504;3.575477029;18.14811729;18.04935676;17.32395614
-22.04394456;5.4694901929999995;5.371601459;4.843454604;4.118692923
