# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;ExrateHKD
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"ExrateHKD";"Cons.PurVeh";"Cons.RecCul";"Cons.Other";"HSexfinVal";"HStartsTAS"
-31.10001081;32.95227654;5.955260274;0.622040134;8.439612613;-3.53463272
-5.482566493;-7.908767038;-2.037135752;6.557064518;-2.766939902;8.365005773
-24.48041073;32.76332949;2.812222499;11.39803145;21.12348655;9.003858806
-24.4971909;14.03652792;9.077628128;12.60323598;-14.43904771;-44.83320106
21.30801878;-8.163548652;6.684396649;0.784467794;23.32848898;25.4304338
1.857262641;-5.00811407;10.42655027;7.556182774;39.28008225;55.00242636
18.61399559;13.17166272;-0.829732363;-0.92390648;44.03820021;-26.00303727
-4.590814865;-10.15927624;7.032469633;-0.668595463;15.42928782;0
-1.199846964;19.25057667;3.284952637;1.848764364;37.13043925;-5.409788138
-15.86825391;7.82223174;3.826495573;-2.570042252;-14.47768562;-19.8686439
-20.51615308;-62.61856974;5.836614913;6.039009281;-64.00003887;55.99260218
-14.18380262;102.2574507;16.00471594;4.947059523;-14.82999564;66.46120257
-26.37571379;-29.74554896;-14.19810232;3.347299868;5.995979006;5.783826106
-7.865371718;-37.25205895;4.950800111;11.04025923;42.96064841;-40.87019024
-8.875703156;-14.26643207;3.641222228;0.918484904;61.35633776;3.100268272
1.130764111;7.778634414;1.664535052;2.407035787;35.6059235;-13.10250203
1.311301134;24.52335301;6.526877485;1.963017884;13.24758769;43.97145209
5.21582068;20.25749313;10.69789742;2.808031045;10.6625762;21.53528783
28.8000673;7.977105801;14.12830964;5.136431538;-13.73786441;-24.02906161
-6.606250596;-9.670092213;8.503808602;2.194600731;-7.64853719;0.125058497
8.613429785;-2.618667291;4.571149758;6.191644937;6.296364249;21.65979242
26.93185688;-4.62432896;-1.145066265;1.236052486;30.3273274;-16.56576476
31.04599196;19.95878846;8.087963109;0.091407679;31.72016156;34.8559877
5.287633798;28.53998934;11.05524913;4.860106347;27.42767938;49.23237491
38.19346894;1.76185867;13.75278147;8.044963915;-12.33229808;-35.87925736
22.28547947;-3.53151205;4.985632636;5.100091074;-45.64696906;-59.22356825
-29.89810805;-4.398914894;7.389436343;7.744549961;17.63633732;7.791637877
-1.945416146;15.24664194;2.755288654;8.814849777;10.40605942;-8.299574707
32.95523565;3.323325233;4.449827826;6.815749318;15.78957249;-12.12604938
7.0431488;14.45737979;6.632741426;1.398602823;31.70438789;32.31922083
-7.150382615;0.220082537;6.402884254;6.112588388;-11.79658064;20.83129899
-6.412281427;7.951248877;2.885647991;7.412442293;18.59124864;-16.38614148
-9.061029037;-3.248528954;0.941205297;4.107461053;22.24731459;-2.998065182
-2.675112017;-10.24144038;8.585043978;11.1209759;8.665341423;36.66599665
10.08895272;-1.005165962;4.014235985;10.11279218;21.82653457;-2.423582077
3.768956933;5.221571162;1.86426204;6.211419757;2.299096065;19.62128708
11.6690845;4.281638246;11.00671336;2.450517425;-13.08778384;-25.07263019
5.513572799;36.3032412;1.985451648;9.013450323;21.40586428;-10.32534982
22.07436297;0.697471842;4.431558309;3.47859145;42.91927876;44.34503712
8.547680051;0.596866562;9.371304118;10.46449634;-2.838613441;3.686662042
18.8840114;17.50400809;5.399066959;8.58343562;-8.941989509;17.74524708
9.738685356;-7.394280898;4.521991315;4.223620906;-22.89364676;3.591821441
14.75948394;-11.10500016;-6.543500994;-5.540022246;-72.15594595;-81.97926915
-36.31465549;-49.9257698;-4.182846341;-2.986354755;-9.560478064;-45.42638468
-104.5871275;-4.998644999;6.418810239;1.665606826;26.77612533;31.54657927
-8.179525578;-5.873144234;-3.272177981;6.326902896;90.74648935;62.72906501
65.51583613;-9.865444276;6.305084437;2.861194933;35.30598759;-34.40389265
35.83910231;10.56089505;-2.818567153;5.007477684;-2.554973287;-27.34387803
27.85989051;20.76044015;1.881249793;7.138411382;-24.4087994;-24.11204679
-4.366063249;11.91531371;2.360390678;3.266893009;-48.51787528;-92.0649079
-9.041854036;37.3665879;13.71324712;7.645758409;-21.05290393;-12.98491046
18.12106976;-20.33829534;4.806085718;7.010648631;-5.285709074;-10.28334268
27.47250637;-19.06119783;7.639138468;0.153721996;1.571326212;-8.776130904
13.07818855;22.01624885;3.007384202;2.573735421;-12.21836696;28.25912641
23.83929336;-35.54358103;10.13993529;4.796657357;6.045715179;-5.494363181
-10.73893248;29.40535316;1.285526949;3.515251527;-7.357629894;-1.848354442
-10.47490809;6.848257218;-1.727781531;2.653458842;7.818483883;-15.10260901
14.06618167;17.83798164;4.990146692;1.838129532;-6.009036541;-25.08149534
-19.03389048;27.16399274;1.990101004;1.594098051;7.34455614;2.413560333
11.6902488;10.01617278;3.538680083;-1.860399795;11.45567516;23.19229602
-1.459897842;25.40672105;-9.097762467;-1.660984146;5.053933163;-1.575149706
-0.824783538;-26.11390356;2.312973877;3.66866477;21.56035764;-17.38235415
-23.81799161;9.097265061;-4.793691426;2.963519882;14.88382297;22.08931629
-28.56774934;6.689692799;1.348034592;-1.376332849;10.40757382;23.8826704
3.312445724;0.764737355;3.902843283;4.027761139;21.31257135;44.01736453
-8.287194293;-0.679694301;-0.323786414;3.901342201;8.936840507;-19.63308463
15.44261476;4.733783059;6.670127868;-0.258908995;1.411150213;13.59134146
-8.567383253;-5.159179249;3.581779366;4.976113363;-11.16867653;-0.297066497
-29.1005477;-3.763123757;8.79842613;1.446861395;13.70189412;-17.30820291
