# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; PEXP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
PEXP;HStartsSA;HStartsNT;IP-ME;HCE-Pet
9.334059292000001;7.3720036129999995;-44.27336106;-10.25697225;8.602482088
18.66827887;-42.69153481;-84.32540508;4.020134341;-13.21158658
1.027317885;-4.396868787;30.69877252;9.598202222000001;20.19549191
6.585602419;0.312482534;40.68544682;-19.43239241;-18.14230665
4.624064207;16.86391499;-9.790013964;20.54659926;8.915353667
-4.978830031;-2.7473815669999997;40.31644907;1.665512469;-2.591745661
-8.205372591;0.172265377;-30.139774900000003;0.553633306;-10.70245663
9.856295787;-3.068792447;9.546992525;9.836561255;18.22078298
21.96780264;-4.450307685;5.248435223;5.894279462;-16.26275117
-23.03415675;20.64891835;3.707162735;2.650771795;5.60222484
-11.55138732;-31.63532082;14.85005309;0.528052882;-0.0009765639999999999
-14.3399486;-13.76282548;42.78369478;18.56003024;5.567561887999999
7.582855492;25.31918471;44.12014849;-21.20729338;-10.51644056
17.70949127;29.79337198;28.96818678;-34.94945208;-5.739057412999999
-3.062930915;26.9676715;39.50076017;31.74943502;2.9949668289999996
-11.53170587;33.38913695;-48.92563243;-7.567793298;12.22150736
-1.516808381;3.204475445;9.158649314;-0.54607517;-23.48686487
-21.92075046;-43.37960924;-100.94448;18.68251496;30.215876300000005
-1.1050974679999999;45.90414974;-26.93665854;12.32446656;-26.45320929
-19.01217861;-4.367461066000001;-38.85801712;-0.506008923;9.821303755
9.11124164;1.217974685;-16.49718337;-6.637038037000001;8.1483349
-2.0252189609999998;23.08722382;53.51780632;-2.0645207119999998;-1.373170349
-0.17281861699999998;16.44947495;19.76153971;4.630276783;13.81833446
4.306167183;4.538212257;-6.36055805;-3.5966844769999997;-0.603716745
15.18774044;-0.467089695;-4.29726604;3.5966844769999997;-10.90217329
12.96250209;13.78073977;-25.26373378;20.92631575;4.802007903
-13.12250969;-10.15182332;-67.9738191;-19.39472485;-21.37314246
10.03360334;-16.2902045;0.0;20.8483909;17.17170368
15.97392513;28.69335642;60.61995926;24.39208106;11.29229192
25.89263071;23.765338699999997;105.1860182;12.54302097;-19.18703291
10.39629344;0.81716068;-59.46410965;-5.327492736;-4.229415332
21.23883356;-4.1879273889999995;31.15848333;1.783726479;-1.981882584
19.99712969;-37.33122991;28.90577651;3.9845376519999998;4.816457316
-20.53783261;-20.76557554;11.81769849;2.196600797;13.006917300000001
-3.403165095;10.51752549;70.05564186;-20.67876153;-1.9837943619999998
15.20655433;14.53447094;12.27163911;5.498368362000001;-9.690757934
5.901161688999999;16.64133495;-14.72262722;19.97086958;9.0340332
0.844034123;-8.203880351;32.56514486;8.565637802000001;-0.08911663199999999
3.5473416589999998;9.476211904;57.13456336;13.33456811;3.951010722
-1.163903468;0.53140461;14.090721100000001;-11.22151512;5.877452602000001
-5.101109758;-2.337544072;-10.37522142;-12.8490705;-14.65256857
0.933838765;15.82636797;-11.05151699;-4.816697502;-1.1019290720000001
7.634636839;12.66203914;-29.90494379;4.381204808000001;8.169106253999999
3.872613542;-16.99260659;-69.02322181;12.86284465;0.8919074379999999
7.191319626;2.3575141630000003;-20.50383135;-1.691334444;-5.388856753
18.04935676;9.405532515;4.025528776;-3.831854743;4.596871384
4.843454604;-10.95647867;16.99046656;-4.733783058999999;-2.681635886
11.45554985;2.495794664;-19.40091912;1.7278644580000002;-7.610152751
-0.092749186;-19.18446651;-69.66460886;21.80833555;10.05314294
15.42964985;-64.62653875;-0.960384615;22.99939682;-13.03044773
-11.8634591;-27.13646261;-50.85663785;-16.12011751;7.00759755
-89.44175649;26.18319856;75.10648657;-21.42633699;16.09953448
4.861397172;69.63953911;28.52116852;-22.19166093;-17.15127197
45.80872464;3.93072732;17.31634179;-8.592755526;14.49375559
26.70028152;-18.04681675;-37.47899725;23.52313857;3.388010949
25.11125645;-46.7134449;-60.48033004;47.11321426;-5.905400682000001
2.263431733;-75.67662982;-22.25739663;-35.64137118;-9.553048851
-5.0051329;-19.69575921;-61.11568369;24.76691506;9.858911076
1.317239217;0.964383985;-0.8474579870000001;-11.17837216;-23.54255991
21.91976496;-1.096071229;-42.47425865;-2.02943104;0.584037398
4.593687291;-7.489278722999999;21.5772329;-6.150813147999999;13.97585875
15.38777938;-2.018054619;-4.042707068;-19.04114111;6.601257037000001
