# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-Alc
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
Cons-Alc;IP-MP;IP-TCO;Cons-TraSer;Cons-Hea
10.76414443;8.163548652000001;-21.86336502;-1.566280937;8.813644999
-3.598996002;15.41192287;-27.65065672;6.228658028;-21.19301771
9.316101425;-44.261631799999996;-24.55096538;5.6853749;6.3782134489999995
3.7665061730000002;11.88441546;20.78749676;-0.5379960460000001;-1.97345637
-2.255645075;-4.237826573;-30.57920239;8.610118299;14.523505400000001
1.755488711;20.75393415;14.31792083;-5.838228365;7.648416579
6.3306208889999995;18.01512582;-6.808675028;19.05329184;3.902469978
9.131426829;11.01764567;-25.70097561;6.4055309000000005;12.98209129
0.24067389399999997;19.97358368;21.38593916;15.09613119;-15.10599009
0.120282665;-9.658416922;3.742380663;19.33198835;15.78894832
1.6801704869999998;-20.04594805;39.00874021;27.78122591;3.566524
6.415343929;24.90430737;-2.084695272;11.98538729;7.1220985
