# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;SPASXAllOrds
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=9)
"SPASXAllOrds";"Cons.InsFin";"Imports";"HStartsQLD";"HStartsSA";"HCE.MV";"HCE.TelEqu";"Var.7"
14.81674132;4.638756917;9.858233364;22.0326092;5.942743412;0.790400142;-4.012467355;
-12.29000639;4.099255627;-0.59946629;-6.085239392;-13.53092725;3.609833325;-1.995413424;
9.260377305;8.664598712;1.059603269;-2.143267361;-4.388758805;-6.025151071;3.989637179;
20.43753182;10.27505502;0.948289079;12.5386627;1.662643477;2.806172863;2.743044354;
35.77120472;-6.640821053;-13.10770729;9.271465545;20.83781713;-4.089532838;-5.52860747;
-3.83936406;-0.449665609;11.07502427;27.52089146;33.46500417;2.004506544;1.961363906;
13.77800279;17.47444765;-5.833613616;3.685262692;5.018788788;-0.027434725;-1.177431386;
18.02861555;6.408681813;-1.992249492;9.30227109;-0.232041;3.743741262;4.273577824;
-1.59943676;7.702837922;-9.361639652;4.869729908;-8.128454855;0.832031548;-5.051436152;
7.495704367;4.773400312;11.30357468;0.463860099;7.625237021;-2.498700626;-6.244403355;
5.303225907;-1.708568586;-5.089159385;6.0339314;-5.028080823;-0.00391442;0.687417846;
-8.621977198;6.506870171;-7.230196721;0.75602095;5.492611989;-0.84427547;5.144444696;
