# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Urate-LFT
# prediction_type;rolling
# method; FCBF(n_components=12)
"Urate-LFT";"Urate";"Cap.MacEqu";"Cons.Other";"FedFunds";"Unum.LPT";"Unum.Total";"Cap.BioRes";"HSexfinNum";"Emp.HoursPt";"HStartsWA";"ExrateJPY";"HCE.Pet"
0;1e-09;13.95503598;7.412442293;0;-2.119210255;-5.1236771;52.79858916;7.347956842;8.447286884;18.68640562;9.755998914;3.951010722
0.166666667;0.133333332;26.6758281;4.107461053;0;0.353982236;6.673426544;-10.89985698;21.54928176;-0.02343173;16.00600732;10.12201333;5.877452602
-0.133333333;-0.066666666;2.399652467;11.1209759;0;8.835788549;2.149523162;-10.07046196;0.262069914;-0.505782249;24.19588283;-4.067674975;-14.65256857
-0.233333334;-0.2;-20.09379584;10.11279218;0.16;4.046090756;-12.76131545;-13.05298161;17.64860981;6.283234052;17.53529888;-2.314165161;-1.101929072
0.166666667;0.066666667;-4.664775899;6.211419757;0.253333333;-25.09656876;-9.11225137;-15.92250016;-1.835091797;2.416828546;-12.578606;12.88975726;8.169106254
0.033333334;-0.033333334;-9.360032989;2.450517425;0.233333334;-24.54065208;-12.11558272;-56.61606889;-14.83310909;5.657589158;-36.6562881;15.54555724;0.891907438
-0.066666668;0.133333334;26.621732;9.013450323;0.103333333;22.52921937;2.135967285;-14.28723304;5.42478093;-6.090947932;-10.86335268;9.192839813;-5.388856753
-0.133333332;-0.166666667;25.85515211;3.47859145;0;-9.554077567;-17.41589434;24.44944242;25.44502527;4.171125864;25.91889331;29.53481483;4.596871384
0.166666666;0.166666667;7.870396552;10.46449634;0.15;22.62861006;-0.313915787;63.54538146;-8.740049037;6.417882121;-17.57757631;-6.398224968;-2.681635886
0.133333333;0.099999999;7.96689225;8.58343562;0.25;17.6996994;11.75893403;-15.47044576;-4.102600004;-1.531950403;-19.95094356;4.537111874;-7.610152751
-0.333333333;-0.333333332;3.082207031;4.223620906;0.326666667;-20.81671404;-24.66936314;-6.524099775;-30.79301815;9.765972286;-13.41721315;-22.9801191;10.05314294
0.533333333;0.433333332;13.85806987;-5.540022246;0.273333333;6.825650476;18.38278105;-2.474234693;-78.02118543;3.414342365;-77.61707686;19.36523636;-13.03044773
-0.233333333;-0.199999999;-10.9311124;-2.986354755;-0.076666667;-14.86294519;-1.325765496;22.12731012;-23.67534607;-3.706896934;-2.232244428;-27.86233418;7.00759755
0.333333334;0.3;-10.6967932;1.665606826;-1.886666666;12.04044166;23.74926349;-48.63273083;27.26640903;9.238885418;-16.02936913;-153.4718111;16.09953448
0.599999999;0.566666666;0.328383454;6.326902896;-1.67;51.73833456;74.22231929;-18.54486996;78.95715905;-0.145117457;35.93062942;-5.095071641;-17.15127197
-0.233333333;-0.4;-4.563488583;2.861194933;-0.596666667;-9.602979739;30.93019528;7.339655467;31.29089297;0.872104914;28.64431242;71.61440936;14.49375559
-0.666666667;-0.466666666;-23.15642731;5.007477684;-0.02;-4.083710777;0.327399282;16.03778288;-8.295471796;9.566732056;-5.006899414;18.74786684;3.388010949
-0.266666666;-0.133333334;39.83427448;7.138411382;0.476666667;2.40722893;-9.311889147;-49.1928468;-37.38029161;4.233497867;-7.580671696;16.46117565;-5.905400682
-0.033333334;-0.033333333;-43.1174098;3.266893009;0.35;6.900141361;-13.84516041;10.71927726;-70.10658768;7.950202934;-64.15673392;-0.750040967;-9.553048851
