# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Gov-NatLoc
# prediction_type;rolling
# method; Part-GFS_te(n_components=11)
"Gov-NatLoc";"Cons.Other";"ExrateGBP";"HCE.TelEqu";"AveComp";"UrateLabForce";"HCE.Post";"Cons.PurVeh";"RHDI";"Hstarts.PDA";"IP.PRM";"HCE.ParAcc"
3.389850796;2.407035787;-7.336893844;1.720414702;2.500901323;-83.999999;0;7.778634414;8.087197683;85.2013167;-3.389850796;-4.982745755
-1.5231721;1.963017884;4.305584017;8.166057508;3.086626696;9.333333;5.780447415;24.52335301;10.89918874;8.541249788;-0.851970503;-3.194968579
1.27830701;2.808031045;11.4060685;-7.300256304;3.623754939;-11.333333;-5.780447415;20.25749313;-0.371925047;-11.42934898;3.678837392;-3.120952114
2.147121174;5.136431538;11.48025324;3.389850796;6.909594142;-21.000001;0;7.977105801;-12.84035377;28.88332325;-10.56072757;2.582320137
2.811064117;2.194600731;-27.34382334;2.474128568;3.56410857;56.000001;9.639020632;-9.670092213;4.501162726;2.6875801;14.76391861;-10.37983801
3.221119429;6.191644937;6.181804526;-3.790361449;-0.888054331;6.666666;-9.639020632;-2.618667291;1.328114369;0.891862309;8.82185998;19.69238271
2.179155458;1.236052486;19.20602505;-1.660181186;2.250453468;24.666667;17.00050242;-4.62432896;6.452330385;-21.97348752;18.64518616;-13.93829202
5.761955399;0.091407679;23.23356488;-0.000426884;7.745001622;-106;-14.32490716;19.95878846;5.552128065;0.940070844;3.110838751;6.626545426
5.765577639;4.860106347;9.572538252;2.466179963;3.585681382;22.666667;-0.547930669;28.53998934;2.298588954;28.09761776;-13.39147054;-5.59706049
4.031729084;8.044963915;12.54446908;-2.469563557;6.003311109;31.333333;3.142503872;1.76185867;7.351011576;-0.876232464;20.55736915;4.048090797
3.452808783;5.100091074;-2.61856244;-0.000419055;5.336646775;-27.66667;-5.270168463;-3.53151205;7.290354458;-10.66729883;11.00757391;-1.525661538
-0.755384586;7.744549961;-23.45368523;1.223448131;2.881164918;34.33334;0;-4.398914894;14.94932298;0;5.635621552;-4.025801808
0.683504626;8.814849777;-1.975313337;-0.006636829;7.708341528;-6;1.04575223;15.24664194;-3.780715759;-42.74525822;-30.31753575;4.532432402
2.150799781;6.815749318;17.30541308;-0.410827691;2.557513586;43.66666;2.075199884;3.323325233;8.689843783;-14.28723314;-4.752531155;-0.510413643
3.748100013;1.398602823;3.158982103;-0.003680543;3.528615315;19.66667;-3.120952114;14.45737979;1.709969457;12.27717856;-16.26240226;2.480385033
1.484756455;6.112588388;4.451658854;-4.85710512;0.800431268;-12.33333;0;0.220082537;8.722039568;22.52737234;10.64545941;-2.994989486
4.74706691;7.412442293;11.60326433;0.376935195;6.830475472;-36.00001;1.551391731;7.951248877;2.339262373;-57.24033757;-2.702712985;2.456075647
7.119388467;4.107461053;-2.124673328;0.386506171;3.162071803;-24.33332;2.556474924;-3.248528954;-2.052630752;3.283192168;-3.814742809;2.393344606
5.848786551;11.1209759;-5.679224602;4.531640362;6.072900752;16.66666;-3.087457938;-10.24144038;4.296991628;12.86974281;-22.23576297;-5.839519768
6.285452876;10.11279218;-9.583221924;-1.238175783;1.415617492;22.66666;1.012632509;-1.005165962;-2.251832146;5.242539108;-0.579290471;4.801978439
-8.123810615;6.211419757;-6.133027785;2.047713048;2.670099773;27.66668;-1.020382457;5.221571162;12.56491233;6.201674614;12.83532582;-1.948220793
-0.894032144;2.450517425;0.165214492;-0.828033091;11.84225936;-64.33334;1.507828462;4.281638246;5.848381995;-23.22552027;-3.382684007;-0.491080959
1.94394596;9.013450323;-1.68839481;-0.817982637;5.722235636;40;0.98172401;36.3032412;6.987229188;12.83532582;11.71631877;2.321217583
4.339641405;3.47859145;16.12571036;-0.407123038;7.705872018;3.33333;3.411541124;0.697471842;11.07860961;-2.110822946;4.374616398;-0.514777199
4.083366483;10.46449634;3.774062013;-0.405885372;3.797972452;-0.66666;-5.935756768;0.596866562;1.965041437;10.4444575;-9.632388397;2.684277307
5.100780751;8.58343562;15.2363984;0;3.115175058;8.66666;1.456582825;17.50400809;8.007497016;31.69974876;1.390338557;-1.007309429
2.174036549;4.223620906;20.14643817;-0.405885372;4.053862007;-15.66666;-1.949435852;-7.394280898;5.566922424;-23.53620001;10.41154668;0.355589666
1.450021877;-5.540022246;16.16696184;0.811770744;7.855576969;19.33333;-0.48514257;-11.10500016;1.005906645;-3.041839754;20.55788365;-6.201674614
4.980742757;-2.986354755;-13.97707047;-0.00041144;-0.052386877;-33;10.99889978;-49.9257698;-2.095687065;-37.3106503;-63.03278025;9.125871106
2.074831417;1.665606826;-22.24518221;0.808487546;-0.183408119;-9;2.907483354;-4.998644999;26.20446099;-60.17328113;-7.896991492;-1.466062573
2.190800433;6.326902896;20.14196161;-0.003673111;0.261985862;58.33333;-13.90638314;-5.873144234;-5.305245943;-3.915202545;-73.1740968;3.151660422
1.001436794;2.861194933;24.04758772;-0.003650951;-2.416767055;-65.33333;0;-9.865444276;9.263974952;31.51235101;44.89714211;-4.300643622
4.220542108;5.007477684;25.21992971;-1.608445586;6.481683804;-22.33333;7.670849856;10.56089505;-9.028550127;53.2610133;-39.04694642;-2.894527472
0.697381095;7.138411382;24.54119336;0.40180817;3.356157549;26.66666;-7.670849856;20.76044015;2.018933028;24.68649594;25.65657475;-3.616297861
5.197092314;3.266893009;18.03439787;-0.402212201;4.651809616;7;0;11.91531371;5.109689201;14.68953318;-9.64732378;-1.201803608
0.676940596;7.645758409;4.248070075;-0.000404844;9.442336867;-20.99999;0;37.3665879;1.084699305;2.874263864;-10.60132722;0.800398657
-1.571025367;7.010648631;0.567552864;-1.616569474;5.104720801;49.66666;24.69652661;-20.33829534;7.035478136;-10.6414983;-3.958646795;-0.00040322
3.544015809;0.153721996;27.79975911;2.019186519;5.354832313;14.66666;-24.69652661;-19.06119783;9.402520991;17.26886875;1.083522107;1.205021292
3.067873633;2.573735421;1.773745187;0.808898152;5.522628094;-56.99999;0;22.01624885;2.254985056;-30.22143245;26.85103688;-0.402210581
4.738188065;4.796657357;14.54404818;0.804007259;5.682586397;-44.33334;8.316307868;-35.54358103;-0.611075012;-11.29728503;-17.93403811;-1.203410031
5.502259322;3.515251527;-3.120633831;-2.41854516;5.556617693;75.33334;1.038465212;29.40535316;6.245828427;7.226002857;6.646414393;2.40561605
0.96549393;2.653458842;1.206266957;5.21671202;2.956816421;-44.33334;-9.354773079;6.848257218;3.356669944;-53.55872907;-64.21248477;-2.003408692
7.757015649;1.838129532;9.282095675;-4.012467355;7.681804312;26.33334;0;17.83798164;-0.48246354;2.332368241;-14.93949572;-0.000400801
2.242411888;1.594098051;-16.74123069;-1.995413424;0.225708165;-12.66667;7.566178797;27.16399274;6.399068978;57.31784911;14.12400105;1.601202136
-2.271366273;-1.860399795;8.905938804;3.989637179;-3.854468098;4;-7.566178797;10.01617278;-7.957772037;-10.20463496;15.21705018;0.39461527
-3.334079539;-1.660984146;-5.839519768;2.743044354;1.909203011;1.66667;2.359888851;25.40672105;4.193423779;7.170486406;-3.552070703;-0.799987581
3.604238992;3.66866477;17.44673876;-5.52860747;0.702291121;33.66666;-1.185144982;-26.11390356;5.528321919;-13.42061357;-8.008275492;-0.398206525
2.614953914;2.963519882;-23.20522482;1.961363906;0.768839628;-43.66666;6.953257127;9.097265061;-1.266274;34.19165795;-2.027373828;-1.58927362
-0.920974145;-1.376332849;-35.97313636;-1.177431386;3.419208762;-28.66667;-8.128000996;6.689692799;0.440981735;46.36284557;-3.675370422;0.794043159
3.185590874;4.027761139;-12.897585;4.273577824;4.14465298;0.33333;1.147776971;0.764737355;3.483768534;19.27074223;-0.410466942;3.177375604
-0.266882724;3.901342201;-16.39682654;-5.051436152;1.46042094;51.66667;25.8121244;-0.679694301;0.8904183;0.81716057;-8.299052878;-0.412296696
3.389488719;-0.258908995;9.692426234;-6.244403355;0.904553487;-12.33333;-34.53110532;4.733783059;1.811082357;-9.917863447;-33.66267163;-0.01392285
3.314129821;4.976113363;-2.268072671;0.687417846;4.034458365;12.33333;7.571203954;-5.159179249;2.037011517;14.7860777;-15.34179911;-1.571697713
3.872337414;1.446861395;-8.461007235;5.144444696;-1.814855383;-27.33334;4.343934094;-3.763123757;0.819848802;35.47603004;34.0534511;-1.171684638
