# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;PIMP
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"PIMP";"HStartsSA";"M1";"Cons.Hea";"Cons.FurEqu";"UrateLabForce";"ExrateNZD";"HStartsVIC";"IP.PCCR";"ResInv";"ExrateSGD";"Imports";"HStartsTotal";"HCE.MaiRep";"Credit.Per";"ExrateCNY"
5.665050806;69.63953911;0.78003491;-4.546817091;-3.789134654;58.33333;24.1370986;45.41883019;-29.98281298;-13.03171918;4.410335356;-31.21559031;58.40193489;1.241230416;0.304273657;-7.831778565
46.10597114;3.93072732;11.47453351;6.68667699;9.406374047;-65.33333;3.888476837;22.4262802;36.35110669;-18.21672074;48.41216777;-0.091010125;24.00504676;-1.309974947;0.849131864;65.17388567
27.72369712;-18.04681675;-3.90691321;0.685388078;-12.77682724;-22.33333;-7.674992396;0.135678443;-0.790514091;24.41351639;28.54988018;17.23908629;-16.23875152;-0.028129272;13.61947316;35.93194142
27.21794549;-46.7134449;-5.652566124;10.4389666;10.27359801;26.66666;5.225193527;-20.01733629;15.14008965;14.45954777;17.09648172;28.95041019;-36.59971786;-1.680558268;4.390727394;27.62795185
5.892389907;-75.67662982;-0.391864569;-3.948258148;0.442886187;7;8.348000821;-33.77052602;13.11592913;-0.55639281;-1.800595341;14.92628261;-58.87845013;-1.245888922;0.043926929;-5.060735042
-3.613638194;-19.69575921;1.953192207;14.23009567;3.232934572;-20.99999;-8.731142612;-16.90097334;-20.03252797;16.31951803;-14.45247782;13.82074851;-21.851922;2.881725722;-1.668398882;-10.52286762
2.911902534;0.964383985;12.69549658;-2.282304793;2.77120525;49.66666;7.875951276;8.126406254;-11.80026576;8.527604209;5.617291483;-5.424049679;2.748645866;-0.434055275;-5.158593886;15.18220851
22.28835267;-1.096071229;-4.589243377;9.939068096;-0.339291144;14.66666;7.68289989;15.58848035;27.75679737;-6.195883519;14.44184871;16.21461854;14.98403325;-10.67669357;1.525232071;21.05964094
5.230932749;-7.489278723;1.239322928;7.930084287;4.14861413;-56.99999;9.253063427;-11.16032848;-17.89922606;8.131564103;2.944620572;7.81189581;-17.93501319;9.473192085;1.149953602;7.384328182
13.1988226;-2.018054619;-10.6537619;2.217415813;3.963501658;-44.33334;-4.286078689;8.602243785;19.01498689;7.416178256;10.75265082;14.65193895;15.04651339;-5.398320455;1.145832897;18.71291
-8.059692627;13.52615064;-3.460418277;10.67093579;6.22360504;75.33334;-16.74247503;-6.378557083;13.15186965;-5.079773561;-10.25710295;19.44126636;6.612329379;18.49605847;-5.074170305;-16.22247903
-5.178087786;-2.179129425;5.114459901;-5.862772807;1.494281448;-44.33334;14.03252696;-2.986382275;-15.01320386;-3.749180908;5.889011007;1.163655662;17.97660907;-13.55034615;-3.343859303;-13.25688514
16.5049144;5.942743412;-7.284668446;12.13793488;-1.026718566;26.33334;-8.616208691;9.759557241;10.67711804;-12.96717157;5.583058948;9.858233364;-0.58813261;1.194581878;3.056475653;12.40721597
-13.98782599;-13.53092725;9.230662071;8.389624273;3.350415121;-12.66667;-0.770773147;7.123460839;-34.90364655;-11.68432668;-15.49543494;-0.59946629;-4.232595788;-0.807965297;2.945406336;-16.39677962
13.67777927;-4.388758805;-25.61430127;10.65620397;-0.83497653;4;0.416818565;-3.187698265;6.293148488;1.387044099;4.641937756;1.059603269;1.768783349;7.829394617;-14.1337464;11.49853022
-5.557241163;1.662643477;23.03379055;7.073736771;-1.581949253;1.66667;-5.083459722;6.691745749;-9.477244903;9.824695388;-7.665241624;0.948289079;2.119849292;-8.259208099;15.33562987;-8.068243322
4.391727357;20.83781713;3.93014815;4.780134756;12.52898845;33.66666;-6.937266474;11.42183557;-6.039369885;-6.973289235;4.70808614;-13.10770729;12.70604066;3.070615312;1.841014054;-2.042231082
-13.35645553;33.46500417;7.346176778;0.520813462;2.522246844;-43.66666;-14.90298767;11.3668405;0.810537258;16.43052057;-19.8171415;11.07502427;25.37958863;-1.182304638;-0.723716742;-28.43325275
-27.45588127;5.018788788;-6.801397798;1.466882231;1.56836587;-28.66667;-21.18276521;26.66484602;-12.75172252;3.699372416;-23.21248208;-5.833613616;9.733005999;-1.912558241;9.404028177;-30.00409674
3.159686992;-0.232041;6.714305544;3.704292452;2.007476471;0.33333;-5.463822648;-13.00312104;-14.03652792;7.08365343;-1.400808806;-1.992249492;5.223758171;2.632075331;-2.900496925;0.526215202
-10.36377166;-8.128454855;-6.527267315;7.959568438;6.707272432;51.66667;-18.26000198;-3.590539279;5.588484239;18.85702139;-3.915772902;-9.361639652;-2.564792994;-17.12370447;-9.975722403;-4.101220094
14.3868142;7.625237021;4.53068341;2.775328524;4.481961496;-12.33333;5.778641078;0.863889012;-1.711232556;10.06228232;11.17887945;11.30357468;-3.080967644;13.35364828;2.431025189;21.63387906
-0.57599516;-5.028080823;-3.097427666;2.317656563;6.438598077;12.33333;9.50532566;5.22195521;-3.444585334;0.099554494;-7.820161214;-5.089159385;0.791859121;0.775194041;33.72514587;-14.09348203
-16.45655773;5.492611989;-2.377418292;6.557048258;8.134730596;-27.33334;-9.837158596;11.41189898;15.68828526;19.42883831;-15.06397221;-7.230196721;7.222128449;4.609502659;-32.7850797;-29.35690396
