# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrNSWT-bond
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"10yrNSWT-bond";"HCE.OthMot";"Cons.Final";"HCE.MV";"IP.Man";"Emp.TotalPer";"Cons.EGF";"Cons.RecCul";"Gov.Nat";"RetSales";"Emp.PtPer";"Currency";"Gov.NatLoc";"IP.ME";"LabForce";"X10yrT.bond"
0.343333333;1.56771678;2.694262505;0.614911728;-9.248966968;0.932824975;15.63888018;10.73361476;-11.91981673;4.338115455;3.247436713;-0.031662239;4.123824604;4.020134341;1.104741143;0.486666667
-0.873333333;0.728164646;0.874654667;-7.767234343;6.496662531;0.020883225;3.076149485;4.553820275;9.116416692;1.556995286;0.907185391;-2.134529375;-3.301624932;9.598202222;0.658446025;-0.653333334
-0.713333333;-3.962662519;2.963001797;5.249523434;2.752304437;0.411017256;-2.664626815;4.94205473;-11.27381344;0.055994947;2.074211109;1.393660735;2.782904616;-19.43239241;0.570853218;-0.88
0.433333333;3.866143522;3.919078325;-5.453856223;-4.135591118;1.379275806;1.232033828;5.000065106;3.579942788;8.681695612;7.707738848;3.431779442;2.925653026;20.54659926;1.289853791;0.24
-0.276666667;-1.596582788;6.368114186;-3.793986951;5.504674029;-0.121556759;2.452741461;10.62370923;10.71419043;0.766309988;1.732964695;0.580582387;1.68947088;1.665512469;-0.611466607;-0.003333333
-1.126666666;0.719008428;6.075749725;16.05425496;6.327815578;1.046416355;14.9980078;9.524711271;12.90950821;6.602980192;2.242317601;-0.11415049;6.297968403;0.553633306;0.422860117;-1.046666667
-0.173333334;-2.296361842;4.880166961;-17.29526569;1.343034278;3.096010354;6.521619094;5.955260274;3.917759037;4.944769273;6.212430865;-0.110389489;4.477337412;9.836561255;1.522393408;-0.416666666
-0.153333333;0.732901089;0.650935864;16.38211227;0.44667788;1.404988025;6.41699384;-2.037135752;-14.04488223;2.00056711;1.263139391;1.817812011;-0.47120144;5.894279462;0.791745183;-0.26
-0.326666667;0.716494635;6.274287668;-11.8684355;5.321586251;2.103764923;-7.383644866;2.812222499;15.36822683;2.883820698;6.597227946;-1.42898132;1.198331793;2.650771795;1.577356044;-0.22
-0.076666666;10.07479886;7.492349327;0.516897729;1.758244589;2.01781472;13.51222674;9.077628128;-4.716513393;6.945838363;1.693002217;1.730754376;16.94311875;0.528052882;2.248596491;-0.133333334
