# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-EGWWS
# prediction_type;rolling
# method; Part-GFS_te(n_components=8)
"IP-EGWWS";"RGDP";"ExrateNZD";"HCE.UTF";"Cap.BioRes";"HStartsNT";"Cap.MacEqu";"HStartsTAS";"HCE.ITA"
6.128581878;2.917270031;1.433636197;-6.513483723;4.078695208;9.158649314;1.071812002;-19.8686439;-37.73423495
3.261520691;3.106348663;-4.252128121;0.626238389;28.52361108;-100.94448;28.20323633;55.99260218;35.9900694
2.774577599;0.272487352;22.53765216;25.64152335;46.81320675;-26.93665854;7.771070887;66.46120257;3.666576598
-3.238884093;-1.764559597;-10.30918806;-23.48336603;-18.17378253;-38.85801712;-24.92504733;5.783826106;-4.876408745
3.699448335;5.075855603;-18.19751575;1.099680522;6.974024729;-16.49718337;9.669594817;-40.87019024;10.74303333
-4.164294407;2.906719607;4.810283645;-2.934104463;24.8884092;53.51780632;2.263423969;3.100268272;-14.43455591
-5.149281174;4.512751483;-8.228688035;3.37417843;56.18713465;19.76153971;-2.873697015;-13.10250203;7.026529487
17.06310572;4.175155576;6.365489394;-5.12051457;-13.53281296;-6.36055805;6.361896213;43.97145209;2.316243112
-8.210094378;3.320078483;-4.701784601;0.556675962;-15.73834053;-4.29726604;7.148957457;21.53528783;30.4127848
1.839083699;6.240952365;-13.71093001;1.105615214;-24.60249871;-25.26373378;11.82925342;-24.02906161;-31.91216884
9.070683468;1.510204053;-4.661527487;-2.232297616;-82.16949571;-67.9738191;-1.915406693;0.125058497;-1.847558948
0.895857037;3.236882989;-17.13872035;0.55286384;-84.89041113;0;57.84787584;21.65979242;-3.876057821
-13.1905073;0.135776366;-12.73413587;0.548283117;-1.403510212;60.61995926;-11.20427047;-16.56576476;4.172964181
-3.250162978;3.065300223;17.02025147;2.727288449;75.38154324;105.1860182;-2.084304655;34.8559877;-7.126069602
4.173950917;6.135649205;-0.307164998;4.775043744;138.8086049;-59.46410965;22.97308593;49.23237491;-16.64414007
3.21655955;6.532693146;4.723076667;-7.033810266;16.92095188;31.15848333;-8.412737542;-35.87925736;20.51601246
6.806743943;2.996086065;-1.568170645;3.660929203;11.27930834;28.90577651;-3.075765908;-59.22356825;-15.77986857
1.347558826;2.251214891;-2.835931449;-3.183286668;1.14887585;11.81769849;7.795584681;7.791637877;10.95161766
0;3.452363018;-16.834944;-5.204963058;-12.82285615;70.05564186;19.3822436;-8.299574707;4.471286447
-7.696898489;2.855261328;2.357860199;6.241233068;-30.34241002;12.27163911;31.78711238;-12.12604938;-3.127256786
4.54550346;3.478460043;0.048974839;-0.545952625;-3.422480772;-14.72262722;-9.817039936;32.31922083;4.439060091
7.16704504;2.089582331;-4.729119123;-1.044138865;19.7001571;32.56514486;24.01245828;20.83129899;-6.206996968
-10.34346559;4.864112139;8.276030456;-0.010439077;52.79858916;57.13456336;13.95503598;-16.38614148;3.543260487
9.009389867;2.96288629;-13.37529405;3.513918642;-10.89985698;14.0907211;26.6758281;-2.998065182;-10.27856022
6.187968709;0.865102462;24.3509536;-2.555870921;-10.07046196;-10.37522142;2.399652467;36.66599665;27.08358905
4.795697771;1.027268677;23.73281239;-1.011152955;-13.05298161;-11.05151699;-20.09379584;-2.423582077;-17.27073873
-2.608704899;4.191102296;-4.970816019;6.827970263;-15.92250016;-29.90494379;-4.664775899;19.62128708;-3.027268025
4.338437324;6.262424786;-13.54236339;-7.362933354;-56.61606889;-69.02322181;-9.360032989;-25.07263019;7.763859097
-7.843388555;6.132959408;-6.615216906;-2.41633669;-14.28723304;-20.50383135;26.621732;-10.32534982;-6.886008134
-5.315692847;3.302626747;-3.247553191;6.251546228;24.44944242;4.025528776;25.85515211;44.34503712;11.87371655
12.29515018;2.944304662;11.82734767;0.401937418;63.54538146;16.99046656;7.870396552;3.686662042;-2.724552723
-5.223142767;2.258276194;4.416876234;1.77212403;-15.47044576;-19.40091912;7.96689225;17.74524708;-4.19205608
0.875273872;4.970717944;-3.860644613;-6.07613695;-6.524099775;-69.66460886;3.082207031;3.591821441;6.749809236
-5.280604743;1.356216846;26.13228818;3.193422287;-2.474234693;-0.960384615;13.85806987;-81.97926915;-3.751340341
16.91308846;2.772254116;2.088156323;-0.952675118;22.12731012;-50.85663785;-10.9311124;-45.42638468;2.561088115
-8.150416029;-3.246171797;-19.84371486;0.414138416;-48.63273083;75.10648657;-10.6967932;31.54657927;-3.943094342
23.56096321;3.979643032;24.1370986;4.355288654;-18.54486996;28.52116852;0.328383454;62.72906501;-13.2466607
-7.006876746;1.931596097;3.888476837;-4.911393229;7.339655467;17.31634179;-4.563488583;-34.40389265;-1.727127117
-11.81520497;1.611806653;-7.674992396;-0.890265967;16.03778288;-37.47899725;-23.15642731;-27.34387803;0.161443771
20.45307277;2.88338048;5.225193527;1.264682353;-49.1928468;-60.48033004;39.83427448;-24.11204679;17.4768077
-8.637867793;1.523026721;8.348000821;2.069550237;10.71927726;-22.25739663;-43.1174098;-92.0649079;0.230883815
1.245460269;2.435515384;-8.731142612;-8.45502061;56.82345362;-61.11568369;-24.78878552;-12.98491046;-10.89268284
2.479346781;1.991786174;7.875951276;5.477920137;121.9989615;-0.847457987;-16.08006372;-10.28334268;-4.342841748
3.690441349;4.390007135;7.68289989;0.394868286;-1.54024064;-42.47425865;23.64446924;-8.776130904;3.079865269
7.280281859;-1.500973447;9.253063427;-6.687604253;-0.308761111;21.5772329;10.89423554;28.25912641;8.339516323
0.400600935;5.333531171;-4.286078689;11.24016245;-6.225806616;-4.042707068;7.684065614;-5.494363181;-4.367289042
-5.645254991;4.657879989;-16.74247503;-5.84402129;-28.94395121;11.56921583;24.69484471;-1.848354442;4.32012054
-0.81300841;3.97991576;14.03252696;2.021015923;-50.62776606;33.22981766;0.097734992;-15.10260901;-13.40693105
5.656659926;4.117594698;-8.616208691;5.932169209;-20.0139831;32.17229634;2.765750903;-25.08149534;1.828546846
4.785700157;2.328691535;-0.770773147;-5.681157724;7.968390998;-26.95918989;7.194230955;2.413560333;10.90385852
1.187531798;2.215612944;0.416818565;-0.046250795;44.03322984;25.84030804;-4.274015891;23.19229602;5.128435891
-2.776411742;2.222377647;-5.083459722;-0.045271914;-37.3827099;17.53705515;-14.07988496;-1.575149706;-14.73539295
-4.402245535;0.952585653;-6.937266474;0.712535476;-18.25713714;-9.037890095;-32.22005191;-17.38235415;-1.311565432
-2.017150014;3.113451114;-14.90298767;-1.557123654;-3.671621904;-15.27898838;-1.756147974;22.08931629;13.74425179
-6.935410865;1.34967792;-21.18276521;-1.891527895;-20.60360834;2.650269951;-6.417659908;23.8826704;-0.498092204
2.870335228;3.447181698;-5.463822648;3.329316962;-24.00720389;-20.12029535;-25.45640276;44.01736453;3.015910387
-2.048135555;3.574058921;-18.26000198;-4.457211031;-24.07806431;26.8557211;21.61821917;-19.63308463;-3.23364736
-6.208091504;2.482873349;5.778641078;2.935453213;-3.420912726;8.081083;-11.19001513;13.59134146;12.12457659
5.797202921;1.519985819;9.50532566;1.059392837;14.45940565;25.70175591;12.05849147;-0.297066497;-30.83816906
4.903023594;2.185723381;-9.837158596;-6.903370712;-19.39773998;-19.56721987;2.439437621;-17.30820291;18.93393226
