# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-TCO
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"IP-TCO";"HStartsVIC";"ExrateUSD";"HSexfinVal";"EXrateKRW";"Cons.PurVeh";"HStartsNT"
-20.2760996;5.353068055;-102.4219416;26.77612533;-25.72006908;-4.998644999;75.10648657
24.26757962;45.41883019;-8.311727671;90.74648935;21.29433455;-5.873144234;28.52116852
-58.22354156;22.4262802;65.66172962;35.30598759;18.78246868;-9.865444276;17.31634179
-40.36165591;0.135678443;35.85222369;-2.554973287;18.48561646;10.56089505;-37.47899725
14.61186963;-20.01733629;27.79284817;-24.4087994;11.64775625;20.76044015;-60.48033004
-23.04867941;-33.77052602;-5.026321465;-48.51787528;-12.0308196;11.91531371;-22.25739663
-10.13662878;-16.90097334;-9.820313049;-21.05290393;-1.317076933;37.3665879;-61.11568369
17.11889151;8.126406254;18.68055267;-5.285709074;18.51831232;-20.33829534;-0.847457987
-11.45574831;15.58848035;27.61939358;1.571326212;14.48705909;-19.06119783;-42.47425865
-30.36476787;-11.16032848;11.72807192;-12.21836696;4.854504847;22.01624885;21.5772329
29.61429861;8.602243785;24.56761459;6.045715179;8.640067497;-35.54358103;-4.042707068
-16.48532295;-6.378557083;-11.56664804;-7.357629894;-2.673646076;29.40535316;11.56921583
-30.90968068;-2.986382275;-9.53162024;7.818483883;3.609585616;6.848257218;33.22981766
50.01550903;9.759557241;14.95513216;-6.009036541;11.90729655;17.83798164;32.17229634
-25.02017956;7.123460839;-19.08245967;7.34455614;-9.860024281;27.16399274;-26.95918989
-40.95431942;-3.187698265;11.93692395;11.45567516;2.894123554;10.01617278;25.84030804
47.65068457;6.691745749;-1.254721981;5.053933163;-17.6898032;25.40672105;17.53705515
6.586105206;11.42183557;-1.258670573;21.56035764;4.416503583;-26.11390356;-9.037890095
-6.195670817;11.3668405;-23.89303734;14.88382297;-13.77994937;9.097265061;-15.27898838
19.42313966;26.66484602;-28.27367271;10.40757382;-35.904072;6.689692799;2.650269951
14.95842334;-13.00312104;3.385769275;21.31257135;-13.82479023;0.764737355;-20.12029535
-69.43452794;-3.590539279;-8.726657266;8.936840507;-2.8905921;-0.679694301;26.8557211
21.15578557;0.863889012;15.94184452;1.411150213;-3.107149501;4.733783059;8.081083
31.8305594;5.22195521;-8.671057689;-11.16867653;-4.756632778;-5.159179249;25.70175591
-50.43856565;11.41189898;-29.14199568;13.70189412;-8.299933043;-3.763123757;-19.56721987
