# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-IntPro
# prediction_type;rolling
# method; Part-GFS_te(n_components=14)
"Cap-IntPro";"IP.TCO";"Emp.JobVac";"Cons.Hea";"Cons.EGF";"HStartsNSW";"IP.ME";"IP.PCCR";"Cap.BioRes";"HCE.ITA";"ResInv";"COMMP";"Imports";"HCE.MV";"ExrateCNY"
20.51731776;-8.814627413;12.7;5.384762242;7.225429197;-43.02138103;-1.21212214;7.717281174;43.58047352;-11.17467193;1.712591526;13.22753503;24.44219341;6.487309108;3.486283855
3.350415121;5.688797492;3.4;-6.828434859;17.56511163;-23.43674701;4.226454415;-10.32315358;-13.64961833;-3.892385182;0.110238391;3.752426809;19.03869764;-2.663000128;8.157054049
7.346395658;8.281869345;-12.9;8.989142341;-11.11776538;-31.68763307;8.321251052;-2.622960218;-16.35105032;6.67290819;-15.62215681;6.018981987;4.503545989;-5.754948309;-13.83246892
19.36004928;4.685564145;4.6;-9.333643266;9.427324411;6.755667379;-10.12712319;21.76536869;-22.30742382;7.106254052;-15.72037824;1.119643685;-3.825688405;10.11504028;-17.82449385
13.132708;8.020318818;-2.7;1.170094614;5.676836412;3.401116387;3.603627977;-18.70691578;-33.73645937;-9.334672072;2.969134773;-16.35481328;0.859409258;-2.643268154;15.7775792
6.820710075;-36.12411726;-2.1;2.466605966;4.050404595;11.28723158;24.35534787;18.70691578;-62.19396114;3.781257058;-23.89133469;-4.522553443;6.108649365;-5.889532944;0.488107787
13.14253283;-6.57188934;8.5;6.168045626;-14.09188844;5.377709833;-10.25697225;28.06762293;-26.26425832;9.958534948;-13.28134774;5.34268498;10.91291319;-0.92224943;7.314058234
6.177117411;-8.93392804;-4.3;-6.646473705;15.63888018;0.811301131;4.020134341;-5.065825137;12.57470937;-29.63592347;-1.365743949;-12.09461097;11.30433106;0.614911728;14.73105623
13.44534538;18.5361349;0.8;-7.315593831;3.076149485;52.86425207;9.598202222;-20.9303276;67.4757632;13.18425667;1.690234922;9.768349433;0.765029878;-7.767234343;-3.704248136
10.79525789;-5.427491682;5;11.53331998;-2.664626815;-14.87614779;-19.43239241;27.15613422;-31.96262055;-0.018511234;9.487624269;-1.347287982;17.17101697;5.249523434;6.872617496
-1.333581528;7.578034497;-1.2;-14.89056998;1.232033828;22.69088881;20.54659926;-16.15187426;-8.58709185;-4.457091389;22.65918152;15.98510786;6.023407657;-5.453856223;-12.89950397
13.2834684;20.28132322;1.5;18.25986214;2.452741461;-12.37150403;1.665512469;0.40180817;9.294430672;6.629207962;16.41977818;-7.379050397;20.31131047;-3.793986951;-6.435206484
-9.002194828;-12.42335881;2.1;-2.693159475;14.9980078;1.776569201;0.553633306;8.346055386;33.21127584;8.851586571;16.0483203;4.626519546;7.859213888;16.05425496;-16.00600628
11.72086027;8.324962298;5.5;-13.74469531;6.521619094;-10.73835169;9.836561255;2.74376382;-39.62281115;-7.200420261;31.86845285;6.174116179;-1.017051101;-17.29526569;-31.08428086
12.90887193;-9.588786415;7.9;-5.278514182;6.41699384;9.497602713;5.894279462;-4.32012054;-7.246575002;-0.547566164;6.571612488;-18.70773122;17.1916628;16.38211227;-5.927910444
8.064513719;16.32879781;5.7;6.2561683;-7.383644866;-0.576288851;2.650771795;12.82285615;19.27223756;1.086214739;6.317360682;12.86460699;1.274730288;-11.8684355;-24.6901417
-15.45019646;8.813576391;-14.2;20.92513072;13.51222674;-22.05655584;0.528052882;-6.943279444;54.630214;-9.303013442;7.722625013;-8.657331446;-0.243174145;0.516897729;-24.48707402
10.41183197;-10.23381628;12.2;4.214030745;-4.13829226;4.232618761;18.56003024;1.940809242;-32.9299781;7.117834706;8.714733016;-21.41536658;1.471088727;4.457937732;21.35631481
1.231401691;-0.610221324;-14.8;11.55571365;15.21166376;14.8484358;-21.20729338;11.07469307;-0.660611215;10.94382787;6.483580991;10.47929144;13.5672735;1.747354692;1.717497825
0.409626252;-25.20518713;13;10.85982747;5.334015079;53.72460074;-34.94945208;-4.16473237;23.12039956;3.404275867;3.202802142;-6.779014204;7.481446761;-0.007873294;18.31322972
7.570351002;3.883525651;6.7;-11.05077345;0.179573516;11.82793364;31.74943502;14.94104598;55.28026472;-9.128182902;19.44561057;31.92944545;19.94478404;4.620501432;-5.180392379
2.536300839;-7.805125689;2.7;6.441566425;-5.877804418;37.03711473;-7.567793298;11.91961785;-29.89410366;1.979232739;17.28065347;1.178205617;5.685452728;-9.264905008;-1.494658342
9.987378227;37.38696486;8.5;-13.83074129;1.999095483;-36.68252386;-0.54607517;-3.933871671;4.078695208;-37.73423495;44.53686724;3.781029637;15.7707353;8.217504462;-16.45131668
18.63750195;-2.199455679;-2.2;3.422411709;36.11669495;-35.56994789;18.68251496;-42.42382878;28.52361108;35.9900694;27.20202221;12.08865627;2.892047351;-1.794529703;-21.00021523
28.67755048;-3.423126857;-1.5;20.36940422;-22.30839812;-1.52413575;12.32446656;47.42389389;46.81320675;3.666576598;-74.78716838;-9.783963733;-0.327039853;-10.15467045;-14.43226839
