# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-WPP
# prediction_type;rolling
# method; Part-GFS_te(n_components=8)
"IP-WPP";"ExrateJPY";"Cons.TraSer";"Cap.BioRes";"HStartsNT";"HStartsTotal";"IP.PRM";"Hstarts.PDA";"HStartsACT"
19.40912809;17.49598139;27.57355604;6.974024729;-16.49718337;11.52217444;15.43693568;-18.21680817;-10.17774127
-15.57829275;2.083282091;18.81814548;24.8884092;53.51780632;42.36508029;6.236837904;75.54845929;28.24702689
1.585416265;-3.528611942;-12.37432012;56.18713465;19.76153971;11.55661138;-3.389850796;85.2013167;-11.30755875
33.37795923;16.98782559;-5.673853997;-13.53281296;-6.36055805;-0.34564708;-0.851970503;8.541249788;-16.93946814
-20.30286518;27.91737391;-3.088818438;-15.73834053;-4.29726604;7.006757302;3.678837392;-11.42934898;6.753525739
8.485166656;-0.463857802;19.45277954;-24.60249871;-25.26373378;-4.707222803;-10.56072757;28.88332325;61.45336644
5.361212051;-20.024995;18.85246549;-82.16949571;-67.9738191;-8.774316222;14.76391861;2.6875801;-33.32564985
-22.51544867;13.67039518;3.007532966;-84.89041113;0;-4.532272995;8.82185998;0.891862309;37.64834725
24.58111169;18.58121225;-6.139257512;-1.403510212;60.61995926;23.00940781;18.64518616;-21.97348752;-4.167508275
4.68183838;32.87895047;-29.23771493;75.38154324;105.1860182;11.21865579;3.110838751;0.940070844;-20.04395458
-23.35993031;-4.936832055;30.35178072;138.8086049;-59.46410965;20.415218;-13.39147054;28.09761776;14.73345098
0.924143653;12.45015594;9.49451196;16.92095188;31.15848333;-6.073774779;20.55736915;-0.876232464;-35.14775114
29.35737249;14.28901776;22.09445139;11.27930834;28.90577651;-50.810365;11.00757391;-10.66729883;-77.00078281
-8.086918041;-20.06122229;-1.498129092;1.14887585;11.81769849;-10.73997277;5.635621552;0;-12.04210298
4.352600075;2.87943655;7.987263295;-12.82285615;70.05564186;3.422121352;-30.31753575;-42.74525822;-22.27083823
-14.09837562;8.66642849;-1.566280937;-30.34241002;12.27163911;8.032095144;-4.752531155;-14.28723314;-13.37300338
3.867638909;10.39233711;6.228658028;-3.422480772;-14.72262722;28.81384916;-16.26240226;12.27717856;76.1977594
-2.673608171;4.259753189;5.6853749;19.7001571;32.56514486;2.846069487;10.64545941;22.52737234;-8.619334502
-4.797658714;9.755998914;-0.537996046;52.79858916;57.13456336;9.298259176;-2.702712985;-57.24033757;18.19375045
-0.6037737;10.12201333;8.610118299;-10.89985698;14.0907211;13.83689527;-3.814742809;3.283192168;-7.255568877
-7.933135693;-4.067674975;-5.838228365;-10.07046196;-10.37522142;-1.953874647;-22.23576297;12.86974281;2.497006889
-6.837773344;-2.314165161;19.05329184;-13.05298161;-11.05151699;16.74376204;-0.579290471;5.242539108;1.71961096
7.145821106;12.88975726;6.4055309;-15.92250016;-29.90494379;9.621278128;12.83532582;6.201674614;59.58489866
-2.161332931;15.54555724;15.09613119;-56.61606889;-69.02322181;-11.37339441;-3.382684007;-23.22552027;11.65602506
-15.46543713;9.192839813;19.33198835;-14.28723304;-20.50383135;-3.241584498;11.71631877;12.83532582;14.87742433
4.480046832;29.53481483;27.78122591;24.44944242;4.025528776;16.92626193;4.374616398;-2.110822946;11.5159469
14.99004447;-6.398224968;11.98538729;63.54538146;16.99046656;-11.47205524;-9.632388397;10.4444575;-0.448346768
-39.59804872;4.537111874;21.03790262;-15.47044576;-19.40091912;0.578735981;1.390338557;31.69974876;-13.99914651
11.34354582;-22.9801191;1.184406195;-6.524099775;-69.66460886;-15.20050921;10.41154668;-23.53620001;-9.877045036
-6.968239264;19.36523636;-8.969730555;-2.474234693;-0.960384615;-71.07640469;20.55788365;-3.041839754;-3.827780406
