# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Imports
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Imports";"PIMP";"HSexfinVal";"ExrateGBP";"HSexfinNum"
1.059603269;13.67777927;11.45567516;8.905938804;13.29252721
0.948289079;-5.557241163;5.053933163;-5.839519768;3.653944497
-13.10770729;4.391727357;21.56035764;17.44673876;17.50413966
11.07502427;-13.35645553;14.88382297;-23.20522482;22.90057772
-5.833613616;-27.45588127;10.40757382;-35.97313636;6.614409285
-1.992249492;3.159686992;21.31257135;-12.897585;9.053149958
-9.361639652;-10.36377166;8.936840507;-16.39682654;-0.902171231
11.30357468;14.3868142;1.411150213;9.692426234;-1.157001424
-5.089159385;-0.57599516;-11.16867653;-2.268072671;-5.939159736
-7.230196721;-16.45655773;13.70189412;-8.461007235;4.434204433
