# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-HCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"Cons-HCR";"Exrateavg";"Imports";"HSexfinVal";"HCE.MV";"Unum.LFT";"ExrateGBP";"Cons.Com";"EXrateKRW";"M3"
-6.84548912;-15.96221764;2.892047351;-64.00003887;-1.794529703;-17.57254095;-1.903858554;2.653668269;-22.40227036;3.259031545
9.076807662;-6.153967536;-0.327039853;-14.82999564;-10.15467045;-13.88882289;0.034696274;32.69866702;-15.89670756;-0.081480652
-0.111270806;-15.27506206;-12.32986972;5.995979006;8.682727671;11.51809433;-20.75660265;3.852357224;5.413171587;-6.229861344
7.496774328;-3.234518972;-9.573798354;42.96064841;9.139909226;8.847772243;-5.03798928;-0.852878788;16.03968482;8.08953454
-4.834780955;1.081081712;-5.567997107;61.35633776;0.210533547;26.02612413;-2.971506285;13.43253186;-1.717464146;2.789176219
1.948264661;-5.434866246;0.622507664;35.6059235;-6.462569308;11.65104844;-7.336893844;10.32315358;-0.672137141;-3.305581149
-12.40149602;8.392862946;5.559398437;13.24758769;1.049951192;5.413656014;4.305584017;2.006357659;-0.284085913;7.366045557
0.529200606;11.09714499;18.54177734;10.6625762;1.030643887;-16.16677544;11.4060685;6.616095258;13.45640524;-3.871059942
12.86117107;11.30454164;13.21273884;-13.73786441;-6.993051521;-19.66422117;11.48025324;2.746455125;3.656784755;-19.32966715
10.86170205;-12.34824744;5.824293212;-7.64853719;-0.385286795;-12.70408403;-27.34382334;12.82572203;-17.29059419;16.07548093
-3.037491704;6.735910497;27.98940961;6.296364249;7.763625111;-6.506623953;6.181804526;7.502564427;8.773239337;2.2617256
10.7239336;17.59077413;2.58424676;30.3273274;-5.994493523;7.507360369;19.20602505;2.716059818;26.60221819;1.57806292
0.837258286;25.01559276;3.807969119;31.72016156;-1.78978901;-4.166550434;23.23356488;5.620129107;30.72240867;-0.811191176
0.243870582;3.449288405;12.12357386;27.42767938;2.115955173;-9.955026854;9.572538252;1.332325229;-5.744917452;-6.645139074
12.54816643;26.35882853;16.81362854;-12.33229808;-1.088609882;-17.14170289;12.54446908;4.329567224;47.33510521;8.378436701
4.464069827;14.52408962;21.77059699;-45.64696906;-4.404421079;-16.74753778;-2.61856244;10.0403913;12.45600911;-2.884334798
-3.284475932;-23.84953229;11.14763914;17.63633732;7.279545767;-4.198289268;-23.45368523;9.452889482;-32.01135901;-1.886421766
0.100946373;-2.200225614;6.000407542;10.40605942;-7.040478191;-1.174054296;-1.975313337;7.56123516;-3.493188154;-1.766106632
2.214399214;17.2719762;13.81432253;15.78957249;12.97750741;-24.91387489;17.30541308;5.881642938;0.987682993;0.88467141
-11.74757662;5.039436735;9.4617894;31.70438789;-11.50040123;1.106797761;3.158982103;6.555732646;-13.60799894;-0.044115072
14.38212698;0.208604938;10.03976906;-11.79658064;1.433818682;-1.715053989;4.451658854;10.90393546;-8.220067511;0.472340625
-5.657234764;1.041396079;-1.062527862;18.59124864;2.995872842;-6.315825786;11.60326433;9.895049557;3.646788868;-1.450504143
6.984596195;-4.181951338;10.8888188;22.24731459;-3.433448094;9.276820284;-2.124673328;2.66599295;-11.08368245;-0.549842478
2.015783522;-7.425299361;7.786055951;8.665341423;10.26793767;-0.604686363;-5.679224602;4.471591283;-26.65438629;4.678701304
5.69474518;2.9866805;14.91774835;21.82653457;-9.492306665;-19.8864427;-9.583221924;4.022155559;0.420994568;3.590068608
6.06316535;4.228369205;-4.596514838;2.299096065;7.205458562;-2.36387349;-6.133027785;1.89644772;5.962114686;-4.809332705
5.34146718;6.673773184;20.13368552;-13.08778384;-2.2824185;-7.099991787;0.165214492;6.61661797;3.808548414;2.205649803
4.116135453;1.857109346;16.91294799;21.40586428;-0.003191944;-6.176536619;-1.68839481;2.635763045;6.45189877;2.016673121
1.497661656;17.32395614;8.313001869;42.91927876;-2.256701073;-20.7999757;16.12571036;3.776810531;16.19251119;4.212524824
0.591278748;4.118692923;10.97413963;-2.838613441;0.751525261;-10.75702065;3.774062013;1.635207279;8.281113077;2.60752909
3.066810764;9.25788673;12.37092721;-8.941989509;-0.000355328;8.908683433;15.2363984;6.663647682;17.64238733;5.25545062
-2.72489055;-1.528177561;18.13184745;-22.89364676;-1.514075875;-26.59563929;20.14643817;8.315142355;25.58885863;-12.61812654
-2.931329872;14.84086633;19.74533227;-72.15594595;-0.390118527;24.03496968;16.16696184;-1.389372706;41.39710797;-2.439446588
2.340556707;-25.90147886;-0.154014752;-9.560478064;-1.165271499;4.859526422;-13.97707047;6.899101692;-9.365330166;8.626602872
-12.03454505;-83.73739642;-35.48971924;26.77612533;-3.537042044;28.89399344;-22.24518221;6.423297587;-25.72006908;-1.721650444
8.345866201;1.211021161;-31.21559031;90.74648935;12.03966252;83.48867989;20.14196161;-2.882246202;21.29433455;-8.607026072
7.466966459;50.59126445;-0.091010125;35.30598759;-3.513059814;46.0196691;24.04758772;-4.179956256;18.78246868;-3.49839085
-7.969755432;25.78876927;17.23908629;-2.554973287;-0.389621674;1.868905447;25.21992971;2.004560004;18.48561646;-0.565408426
16.05577013;19.68728635;28.95041019;-24.4087994;0.379276439;-13.4679714;24.54119336;1.904117843;11.64775625;-6.100199357
-0.4836029;0.190159243;14.92628261;-48.51787528;-4.218430335;-21.43630024;18.03439787;2.255051637;-12.0308196;4.995922418
-4.226087272;-5.93738455;13.82074851;-21.05290393;-0.405941423;-4.755511182;4.248070075;8.455092862;-1.317076933;4.057936059
8.228377574;7.644762053;-5.424049679;-5.285709074;4.254031253;-20.21306194;0.567552864;8.62496663;18.51831232;1.365670673
8.590377547;18.85746595;16.21461854;1.571326212;-3.101156114;-1.020408748;27.79975911;9.033191724;14.48705909;2.11928549
-7.902295405;7.690824928;7.81189581;-12.21836696;-0.0094444;-7.281715352;1.773745187;9.245596404;4.854504847;-2.148891482
12.53504559;15.12237447;14.65193895;6.045715179;-1.188898891;6.194671314;14.54404818;0.904698648;8.640067497;-3.820670455
-2.469950821;-12.47394281;19.44126636;-7.357629894;-1.217052074;17.93657557;-3.120633831;-2.224287474;-2.673646076;1.96483106
6.046038087;0;1.163655662;7.818483883;1.95910632;4.98903716;1.206266957;3.290845382;3.609585616;0.023020248
4.993110235;11.62015378;9.858233364;-6.009036541;0.790400142;-1.696586593;9.282095675;0.900256134;11.90729655;-0.616591365
-6.92137961;-11.9722665;-0.59946629;7.34455614;3.609833325;-10.58279064;-16.74123069;0.326864165;-9.860024281;0.54295318
6.297088904;9.915706698;1.059603269;11.45567516;-6.025151071;31.89476441;8.905938804;3.010898155;2.894123554;-0.245842158
-8.002848419;-3.451272507;0.948289079;5.053933163;2.806172863;0.977503512;-5.839519768;1.214207145;-17.6898032;-2.375020935
-3.959851818;5.849566646;-13.10770729;21.56035764;-4.089532838;11.68689224;17.44673876;6.493779257;4.416503583;0.541338283
1.460388625;-18.16906213;11.07502427;14.88382297;2.004506544;23.18704713;-23.20522482;3.168333397;-13.77994937;2.189944237
-0.320828338;-25.83923999;-5.833613616;10.40757382;-0.027434725;-1.133257197;-35.97313636;-1.343476517;-35.904072;-3.964415946
3.023050506;1.90204832;-1.992249492;21.31257135;3.743741262;10.95958965;-12.897585;-9.613921623;-13.82479023;3.399389131
11.86878314;-6.118666169;-9.361639652;8.936840507;0.832031548;7.277554484;-16.39682654;10.79957608;-2.8905921;-0.212355994
11.63597527;13.82386092;11.30357468;1.411150213;-2.498700626;3.464746744;9.692426234;7.273638683;-3.107149501;-0.15526711
1.879664303;-4.868973938;-5.089159385;-11.16867653;-0.00391442;10.5343903;-2.268072671;13.86277352;-4.756632778;1.062691967
0.868739313;-15.7561196;-7.230196721;13.70189412;-0.84427547;-4.480810789;-8.461007235;0.67321194;-8.299933043;-2.420783761
