# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;PEXP
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"PEXP";"Cons.RecCul";"Exrateavg";"Cons.Other";"HStartsVIC";"HStartsTAS"
15.97392513;-1.145066265;17.59077413;1.236052486;22.03885778;-16.56576476
25.89263071;8.087963109;25.01559276;0.091407679;-2.503682152;34.8559877
10.39629344;11.05524913;3.449288405;4.860106347;16.33622315;49.23237491
21.23883356;13.75278147;26.35882853;8.044963915;-5.743645009;-35.87925736
19.99712969;4.985632636;14.52408962;5.100091074;-41.38398304;-59.22356825
-20.53783261;7.389436343;-23.84953229;7.744549961;-13.40733472;7.791637877
-3.403165095;2.755288654;-2.200225614;8.814849777;16.97658544;-8.299574707
15.20655433;4.449827826;17.2719762;6.815749318;4.833193775;-12.12604938
5.901161689;6.632741426;5.039436735;1.398602823;33.14102182;32.31922083
0.844034123;6.402884254;0.208604938;6.112588388;17.00302805;20.83129899
3.547341659;2.885647991;1.041396079;7.412442293;-9.891308184;-16.38614148
-1.163903468;0.941205297;-4.181951338;4.107461053;20.36848054;-2.998065182
-5.101109758;8.585043978;-7.425299361;11.1209759;-9.053430181;36.66599665
0.933838765;4.014235985;2.9866805;10.11279218;11.99999999;-2.423582077
7.634636839;1.86426204;4.228369205;6.211419757;20.06783761;19.62128708
3.872613542;11.00671336;6.673773184;2.450517425;-12.55322205;-25.07263019
7.191319626;1.985451648;1.857109346;9.013450323;0.096669632;-10.32534982
18.04935676;4.431558309;17.32395614;3.47859145;13.75678849;44.34503712
4.843454604;9.371304118;4.118692923;10.46449634;-6.03156543;3.686662042
11.45554985;5.399066959;9.25788673;8.58343562;17.53824998;17.74524708
-0.092749186;4.521991315;-1.528177561;4.223620906;4.520535801;3.591821441
15.42964985;-6.543500994;14.84086633;-5.540022246;-71.8712981;-81.97926915
-11.8634591;-4.182846341;-25.90147886;-2.986354755;-32.23369674;-45.42638468
-89.44175649;6.418810239;-83.73739642;1.665606826;5.353068055;31.54657927
4.861397172;-3.272177981;1.211021161;6.326902896;45.41883019;62.72906501
45.80872464;6.305084437;50.59126445;2.861194933;22.4262802;-34.40389265
26.70028152;-2.818567153;25.78876927;5.007477684;0.135678443;-27.34387803
25.11125645;1.881249793;19.68728635;7.138411382;-20.01733629;-24.11204679
2.263431733;2.360390678;0.190159243;3.266893009;-33.77052602;-92.0649079
-5.0051329;13.71324712;-5.93738455;7.645758409;-16.90097334;-12.98491046
1.317239217;4.806085718;7.644762053;7.010648631;8.126406254;-10.28334268
21.91976496;7.639138468;18.85746595;0.153721996;15.58848035;-8.776130904
4.593687291;3.007384202;7.690824928;2.573735421;-11.16032848;28.25912641
15.38777938;10.13993529;15.12237447;4.796657357;8.602243785;-5.494363181
-9.930624308;1.285526949;-12.47394281;3.515251527;-6.378557083;-1.848354442
-5.993060446;-1.727781531;0;2.653458842;-2.986382275;-15.10260901
15.99634528;4.990146692;11.62015378;1.838129532;9.759557241;-25.08149534
-12.45508863;1.990101004;-11.9722665;1.594098051;7.123460839;2.413560333
11.85468549;3.538680083;9.915706698;-1.860399795;-3.187698265;23.19229602
-3.524516759;-9.097762467;-3.451272507;-1.660984146;6.691745749;-1.575149706
10.06662791;2.312973877;5.849566646;3.66866477;11.42183557;-17.38235415
-10.41435593;-4.793691426;-18.16906213;2.963519882;11.3668405;22.08931629
-27.50750947;1.348034592;-25.83923999;-1.376332849;26.66484602;23.8826704
3.940006154;3.902843283;1.90204832;4.027761139;-13.00312104;44.01736453
-9.753341325;-0.323786414;-6.118666169;3.901342201;-3.590539279;-19.63308463
14.5634188;6.670127868;13.82386092;-0.258908995;0.863889012;13.59134146
-2.154749668;3.581779366;-4.868973938;4.976113363;5.22195521;-0.297066497
-14.80043237;8.79842613;-15.7561196;1.446861395;11.41189898;-17.30820291
