# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; EXrateIDR
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=4, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
EXrateIDR;0;1;2;3
39.19980782;-35.9873746366;-103.453610829;-12.9045098915;-22.8809388905
21.7089566;-158.061166177;-68.0272724722;-58.0830903147;6.68868668241
-2.531328387;-37.9936931795;82.815649503;20.1050596231;-20.5123537962
2.920922205;12.7725783546;13.4159199451;-16.7822792364;20.2464310623
30.13184129;11.327366789;-78.7426623433;18.2849089106;-14.938251525
13.07055311;91.8174432714;-8.59228284859;24.9535209089;0.341466630417
6.242711358;-5.15517862236;12.7029498831;-21.0990055704;-32.3234665602
17.33238269;31.6249760017;-3.17628759126;-29.2189147963;14.9622317332
-16.33746982;26.0241603236;22.9565060057;-15.617878011;23.3849585668
-32.3484458;3.25460435194;26.8372854332;-6.26509956264;-7.42251146758
2.655222538;28.1332971452;-8.98219187127;7.81080063389;-21.4011007265
