# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-FBT
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-FBT";"IP.TCO";"BusInv";"COMMP";"Cons.CloFoo";"HSexfinNum";"IP.ME";"IP.WPP";"Cap.MacEqu";"HStartsNSW";"Credit.Bus"
19.49582326;-24.55096538;20.27742629;47.43262521;0.945440661;-8.27144587;8.565637802;-2.673608171;24.01245828;-10.97896757;3.505226873
-12.75172252;20.78749676;20.41573619;-23.89063558;8.255744768;7.347956842;13.33456811;-4.797658714;13.95503598;16.73920216;0.081225673
-1.255888002;-30.57920239;21.09598745;-8.455232797;1.84580216;21.54928176;-11.22151512;-0.6037737;26.6758281;5.918141938;0.93798862
-4.215002121;14.31792083;1.300021457;5.15261089;7.449854262;0.262069914;-12.8490705;-7.933135693;2.399652467;-5.18926197;2.724055788
6.722847327;-6.808675028;0.577558901;-1.237849037;16.23539583;17.64860981;-4.816697502;-6.837773344;-20.09379584;21.03259634;0.252566738
16.72859794;-25.70097561;3.819197917;-22.12969152;6.456381203;-1.835091797;4.381204808;7.145821106;-4.664775899;6.654941388;-6.21738054
-12.58348313;21.38593916;7.451965444;-9.384680503;5.933359718;-14.83310909;12.86284465;-2.161332931;-9.360032989;-5.544666596;1.685827422
-3.728665011;3.742380663;31.02388144;4.255138242;3.212307767;5.42478093;-1.691334444;-15.46543713;26.621732;-9.439729813;5.037146937
-13.11592913;39.00874021;15.14977146;1.496255172;2.150356345;25.44502527;-3.831854743;4.480046832;25.85515211;11.15458819;3.313958383
20.13003356;-2.084695272;10.5084701;-3.386138438;11.7254476;-8.740049037;-4.733783059;14.99004447;7.870396552;-11.92565304;1.882626331
-4.938334329;-21.7430241;0.563464546;12.79721305;4.409598691;-4.102600004;1.727864458;-39.59804872;7.96689225;3.365511268;0.543007757
-3.326422497;5.479537743;17.28112484;18.627049;5.870333739;-30.79301815;21.80833555;11.34354582;3.082207031;-8.385197892;-4.617772088
0;-6.584510822;12.44432197;31.64971081;-12.23296266;-78.02118543;22.99939682;-6.968239264;13.85806987;-74.50635834;-10.80273229
-9.720499473;-14.07604776;6.870929926;7.1582662;7.092858979;-23.67534607;-16.12011751;13.49366946;-10.9311124;-25.52610342;-0.141052118
-9.086383134;-20.2760996;2.282393383;-10.07017985;0.861283977;27.26640903;-21.42633699;-41.56928701;-10.6967932;15.60172906;1.236536468
3.485860841;24.26757962;-6.343580298;-107.797148;11.09550662;78.95715905;-22.19166093;-19.49811275;0.328383454;83.49176514;-14.12625994
14.4850758;-58.22354156;-3.435938309;-61.48548992;16.27214751;31.29089297;-8.592755526;12.61700145;-4.563488583;27.77577715;-3.314479436
2.502615046;-40.36165591;-26.57343759;84.54554655;-4.599895292;-8.295471796;23.52313857;-3.66975051;-23.15642731;-28.99808512;0.822577652
