# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
9.502064938;1.118534207;2.238002299;-4.250142152;4.584577408;2.2704047;2.190291982;-8.250628033;6.976793503;-2.7;6.948746174;0.171639566;0.707518781;15.7775792;19.14444448
9.219066687;5.546229666;2.919444956;-2.142126644;6.736726843;2.1301725;1.003093796;16.77277372;5.672424443;-2.1;7.897945609;4.453015758;3.476578711;0.488107787;3.144948801
3.373656461;7.277338384;4.168109981;0.825253026;10.29625024;0.731697726;0.934525028;3.733124273;2.465492811;8.5;3.142478127;0.217285663;-0.070175021;7.314058234;22.27833912
6.529000713;-2.290197608;2.260733318;-1.569439288;10.73361476;0.932824975;0.181104881;-11.91981673;4.338115455;-4.3;4.210103552;-3.293710588;-3.138082551;14.73105623;1.22679642
8.71586162;3.250582223;2.336507069;0.661567238;4.553820275;0.020883225;-0.272753941;9.116416692;1.556995286;0.8;8.332285524;-0.320908186;-0.401148631;-3.704248136;-5.048596586
6.498145571;-3.371482934;2.821051952;0.825423322;4.94205473;0.411017256;-0.130049735;-11.27381344;0.055994947;5;3.488270538;-2.394341427;-2.458488836;6.872617496;24.40554539
2.31793089;0.845538591;2.641333178;6.055762144;5.000065106;1.379275806;-0.725643119;3.579942788;8.681695612;-1.2;1.943597359;-0.71477016;-0.66717716;-12.89950397;7.331113595
10.41548498;-1.329507192;3.533310452;0.243580643;10.62370923;-0.121556759;-0.748363196;10.71419043;0.766309988;1.5;10.85249249;2.089536266;1.791359883;-6.435206484;27.97380427
-0.865271375;5.172226628;3.345137311;3.796857752;9.524711271;1.046416355;0.643676558;12.90950821;6.602980192;2.1;-0.656882012;3.574655436;2.90860522;-16.00600628;13.59981729
4.211907827;1.788645103;3.430809153;7.171506836;5.955260274;3.096010354;2.035400071;3.917759037;4.944769273;5.5;1.148836568;-1.225248766;-0.602772539;-31.08428086;-28.07037562
