# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; TotComp
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=14)
# prediction_type; rolling
TotComp;Cons-Final;Imports;Cons-Other;PIMP;Exrateavg;PEXP;ExrateSGD;Unum-Total;Emp.HoursPer;SPASXAllOrds;Emp-HoursFt;90daysBkbills;Unum-LFT;ExrateHKD
-1.7664558959999999;1.1304158579999999;-2.96364465;8.059777432999999;2.042067818;8.542893297;3.141440242;9.022568836;40.86109694;-3.659634643;24.16175457;-4.432481657;-0.87666667;41.9837;1.9901902930000002
-2.759038205;1.379519138;1.136511161;1.265706035;10.16759393;7.468392341;8.45139186;-2.177872877;40.097722499999996;-2.71715554;34.8045467;-3.517798735;-0.85666667;47.16507718;-7.661498947999999
1.904278379;5.127280914;10.06070035;6.342315762;6.621046877;6.229269362999999;5.960885372999999;-2.7120080310000003;8.482136729;0.170355089;10.79706314;-0.045564939000000006;-0.80666666;14.339565700000001;8.557904432
5.914374262000001;0.414780031;12.04104296;6.243320939;-11.00859982;-15.75893165;-10.88331047;-19.11350765;13.63082076;0.6632401689999999;22.07111671;0.135635545;-1.6333333369999998;16.22967185;-4.9950792580000005
1.281953372;3.932789768;-6.743945126;1.438074531;-18.05533936;-6.948640284;-17.720495800000002;-13.24798461;10.98209595;-0.440785739;-10.15183431;-1.0395902;-0.89;11.88304386;-10.40363747
4.957680436;3.518764664;15.81714586;5.7011476420000005;1.198946825;-2.813610663;1.663274202;-3.6297497780000003;9.474302693;-1.335215375;13.20889807;-2.234845619;-0.773333333;12.28174328;-1.5030388019999998
6.496101682000001;0.766587855;8.218011471;4.852806773999999;-26.40520576;-29.28136161;-25.80912004;-25.61480621;7.978795026;-0.333750649;-27.27301421;-1.176365659;-0.95;4.233206441;-17.91431063
3.164313677;1.748354055;8.83068689;9.054382272;-8.006121617;-4.839282253;-12.53149115;-12.21486798;9.27088048;-1.749234646;-19.93865073;-1.655842796;0.11;6.459935767999999;-19.71183696
1.3580340119999998;0.01925493;-5.780347573999999;-1.369161015;0.533092176;2.808821015;-1.890521712;5.066640382;-8.180766147;3.785636023;33.07151311;4.572886232;-0.18666666699999998;-2.1867169509999997;2.58459756
5.364565529;3.405059099;6.693850682999999;6.057112762999999;-9.945564438;-15.566166500000001;-13.74298767;-10.34243887;-0.616410235;-0.08103584900000001;28.27086648;0.156530817;-0.48;-4.341417086;-3.6698078339999998
-1.5306468080000002;-0.450807585;10.55802874;-2.167292806;-13.63019204;-9.910115159;-16.48655104;-14.97137693;2.459961972;1.656238631;44.93375673;0.8331023679999999;-0.31666666600000004;3.3788430039999997;-11.38366849
4.76304646;6.942329285;0.3553187;7.401388626;0.181056876;4.851811506000001;0.215232964;3.9470329889999998;1.9486215230000001;6.229971623;34.83921712;6.625460617999999;-0.093333334;-1.4227657280000001;-1.814167646
12.217688;2.300040988;17.71507208;-1.87103582;30.34238283;26.93574022;29.50907717;16.02731968;-13.34490931;2.097071766;15.50447483;1.219855339;0.026666667;-16.15279513;25.96922652
10.22047165;2.390868219;15.25025863;6.576582589;0.30389200899999996;1.25039179;-1.410402608;-2.822154212;-20.63624195;5.084107326;-25.80237895;4.824042813999999;0.133333333;-23.4842729;8.910970987999999
-2.351411082;7.740457104;24.44219341;8.345861029;-1.3725158130000001;2.48911815;-1.9859261069999998;-2.10873647;-15.54434515;5.980659055;4.995406506;5.539225403;0.6833333340000001;-24.63059194;7.918160971
6.382513756;2.920979076;19.03869764;4.2362398510000006;5.2518585269999996;8.834714962;4.538950245;2.395432017;-18.28542497;1.8892781490000001;-22.78648549;1.209678271;1.54;-18.0760705;11.93035445
10.23772887;4.479523371;4.503545989;10.21171122;-9.813505455;-16.60194928;-9.99722853;-17.33911837;-9.405795142999999;2.811530525;-14.72508469;2.474418502;1.0066666659999999;-12.10546308;-10.71095487
3.9363787980000002;4.762130236;-3.825688405;-5.073269291;-27.73222675;-30.48092633;-32.66476788;-27.05772292;-13.63659021;5.277779685;29.34150995;5.362029796;-0.48;-7.811053153;-13.27148261
9.502064938;0.688295184;0.859409258;7.8023851660000005;20.04636584;31.99607966;23.82354289;22.80776521;1.262307388;1.0232885520000001;19.14444448;0.672378404;-0.17;-2.770307341;17.13311912
9.219066687;4.2691112460000005;6.108649365;6.8031977779999995;9.630166345;8.23228308;13.3792911;0.780660157;2.036168476;1.245266939;3.1449488010000004;1.1370550879999999;-0.09;5.325668349;0.154152757
3.3736564610000004;3.716175479;10.91291319;5.612221506;8.914581883;12.1589909;9.334059292000001;6.525307944;2.060997624;1.486120533;22.27833912;1.452508474;0.033333334;-3.8281990589999997;6.826349458999999
6.529000712999999;2.694262505;11.30433106;4.528575109;20.03263332;16.19464358;18.66827887;13.41043664;2.9583732410000003;-1.6760646019999998;1.22679642;-1.8615004030000002;0.076666666;-3.887385671;14.88031677
8.71586162;0.874654667;0.765029878;3.12801299;-1.095133952;-2.306811515;1.027317885;-2.557223387;7.549838674;0.317638056;-5.048596586;-0.070676673;-0.433333333;8.824371483;-2.967666351
6.498145571;2.963001797;17.17101697;2.870335228;5.538527515;11.40328082;6.585602419;5.597340551;2.23573912;-0.438606913;24.40554539;-1.1246397479999999;-0.703333333;-0.369254144;7.193996447999999
2.31793089;3.919078325;6.023407657000001;5.679608606;4.134412651;0.0;4.624064207;-6.103517178;0.34023735299999996;3.140089084;7.331113595;2.3862350230000002;-0.5;4.193726222;-11.94144659
10.41548498;6.368114186000001;20.31131047;4.520468682;-3.29225403;-5.661005871;-4.978830031;-4.157928068;-5.858275319;0.709713748;27.97380427;0.616695772;-0.17333333399999998;-5.412509493;-6.351916369
-0.865271375;6.075749725;7.859213887999999;2.1563394540000003;-10.03813196;-2.7460062080000003;-8.205372591;3.795980767;-6.400971501;-0.8038760979999999;13.59981729;-1.3464183140000001;-0.8;-3.8328105339999996;-15.95142756
4.211907827;4.8801669610000005;-1.0170511009999998;0.622040134;-7.392215277000001;-4.618988993;9.856295787;-2.178588702;-16.15495812;3.120629357;-28.07037562;2.82576626;-0.003333333;-14.931958499999999;-31.10001081
4.458104649;0.650935864;17.1916628;6.557064518;6.174728902999999;22.359757899999998;21.96780264;2.202728835;-6.348609402999999;0.938084767;28.23339638;1.1930063370000001;0.023333332999999998;-2.061269949;-5.482566492999999
6.202961507;6.2742876679999995;1.274730288;11.39803145;-21.826690399999997;-19.58196895;-23.03415675;-23.88490846;-4.645466266000001;0.602592683;2.358966422;-0.054869255;0.093333334;-3.899543491;-24.48041073
11.58622948;7.492349327;-0.243174145;12.60323598;-14.34500833;-19.37768128;-11.55138732;-6.861852354;4.979201337;-0.5512739839999999;-18.79416711;-0.7071069870000001;0.06333333299999999;3.6009245439999997;-24.4971909
2.536247605;3.977668252;1.471088727;0.7844677940000001;-9.39244637;-5.853763007;-14.3399486;1.6519004369999999;-20.96333625;2.766477922;23.08231452;2.4000135769999997;-0.29333333300000003;-30.42701887;21.30801878
3.393630289;7.333887197999999;13.567273499999999;7.556182774;10.51722353;8.508373004;7.582855492;18.40440033;-16.48669889;1.168782631;23.89648985;0.9377046170000001;-0.046666667;-19.01674932;1.857262641
6.495307836;3.336815966;7.481446761;-0.92390648;18.67494658;19.71073238;17.70949127;17.08427434;-12.06578409;2.2024740609999998;10.35792748;2.04305538;0.06;-13.94367184;18.61399559
1.615204708;3.772937053;19.94478404;-0.668595463;-2.0619336109999997;-10.67348707;-3.062930915;-9.909414692999999;3.7786351089999997;6.222317935;-5.265155561;6.538350678;0.09;-7.035118333;-4.590814865
11.04726914;5.150887522;5.685452728;1.848764364;-8.883162049;-6.400136539;-11.53170587;-5.690031016;-13.05152208;6.154343981;10.20212862;5.893037075;0.526666667;-5.3518040000000004;-1.199846964
