# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"Cons-EGF";"Cons.OpeVeh";"IP.TCO";"HCE.MV";"IP.MP";"IP.Total";"Gov.Nat";"HStartsTAS";"IP.NMM";"UrateLabForce";"IP.FBT";"HStartsNT";"HCE.UTF"
-14.09188844;7.961199812;-6.57188934;-0.92224943;15.33892331;10.72753073;3.733124273;-18.80688261;8.960374676;-28.333334;16.04225018;-44.27336106;-2.238102145
15.63888018;-4.975740002;-8.93392804;0.614911728;-22.46379362;-5.045617006;-11.91981673;-27.78475118;-31.59536453;5.666667;-12.98491046;-84.32540508;4.410437686
3.076149485;-1.340700157;18.5361349;-7.767234343;33.94783597;1.688953952;9.116416692;96.63232936;3.410080329;-10.333333;1.519951164;30.69877252;3.528403148
-2.664626815;3.762403977;-5.427491682;5.249523434;-7.13879745;2.240902219;-11.27381344;-61.47609586;6.734165786;-1.666667;14.89005667;40.68544682;-3.702426274
1.232033828;-3.613215189;7.578034497;-5.453856223;-20.18890014;-5.625971787;3.579942788;-55.69001184;11.19414617;16.666666;-17.93575667;-9.790013964;1.332543018
2.452741461;4.990491513;20.28132322;-3.793986951;6.015150946;7.298448091;10.71419043;10.23821888;33.01483864;-43.999999;6.068384403;40.31644907;-2.158098616
14.9980078;12.61507317;-12.42335881;16.05425496;1.489759636;4.426047925;12.90950821;-17.37978286;-15.85573436;24;30.89593026;-30.1397749;-4.152286422
6.521619094;-3.68049439;8.324962298;-17.29526569;-2.486024161;5.464565862;3.917759037;-3.53463272;9.831524106;24.999999;-7.976803933;9.546992525;2.060090391
6.41699384;9.11503956;-9.588786415;16.38211227;17.56379705;0;-14.04488223;8.365005773;-1.215806407;-16.333332;5.179589736;5.248435223;-1.375744629
-7.383644866;5.083727264;16.32879781;-11.8684355;1.429423796;4.855083206;15.36822683;9.003858806;-32.32161297;17.999999;-0.936768578;3.707162735;2.041388806
13.51222674;7.756539299;8.813576391;0.516897729;-2.385218755;-1.073826148;-4.716513393;-44.83320106;29.26583034;15.666667;8.352971744;14.85005309;-1.369801066
-4.13829226;8.766858367;-10.23381628;4.457937732;2.385218755;0.537273419;15.12331342;25.4304338;8.498043445;-55.333333;7.731906456;42.78369478;-0.679686511
15.21166376;1.774822657;-0.610221324;1.747354692;0.475341708;5.86286312;-7.927613315;55.00242636;1.797755835;4.666666;2.693612873;44.12014849;2.017365881
5.334015079;0.61933213;-25.20518713;-0.007873294;-2.860560463;-7.476853205;4.582010235;-26.00303727;47.84332315;12;-0.447677719;28.96818678;0.648094115
0.179573516;-6.461456158;3.883525651;4.620501432;-8.706510593;2.686376786;-4.994142411;0;-89.39006851;45.000001;-15.52706356;39.50076017;2.603902065
-5.877804418;4.289585345;-7.805125689;-9.264905008;-15.45363527;2.668455527;17.8916193;-5.409788138;44.52516567;-6.666668;6.466653542;-48.92563243;2.489415595
1.999095483;-0.533689205;37.38696486;8.217504462;27.02070633;15.64736664;15.82475293;-19.8686439;74.01517728;-16.666666;24.43847078;9.158649314;-6.513483723
36.11669495;2.705560018;-2.199455679;-1.794529703;-35.23665627;2.040820754;0.710017345;55.99260218;-2.473724644;31.666667;3.005918601;-100.94448;0.626238389
-22.30839812;1.720243044;-3.423126857;-10.15467045;3.100790722;5.559154544;-1.824917993;66.46120257;-1.990053856;10;1.707579968;-26.93665854;25.64152335
2.531377788;-14.70358281;-8.791562688;8.682727671;33.08485769;2.002507311;-10.37144154;5.783826106;-43.14295834;-113.000001;7.176973537;-38.85801712;-23.48336603
4.843302415;12.18687933;-32.05153761;9.139909226;-32.05657949;-2.002507311;7.917226845;-40.87019024;-17.6039764;77.666668;-6.751215115;-16.49718337;1.099680522
12.35815601;4.580034625;4.897111806;0.210533547;9.137453168;1.502819551;15.26428507;3.100268272;26.39553909;69.333332;-7.733860683;53.51780632;-2.934104463
-11.15643836;-4.757241406;-0.664268074;-6.462569308;17.19110481;-1.502819551;0.666609355;-13.10250203;-52.17224598;-83.999999;7.308102261;19.76153971;3.37417843
2.98859326;5.457230647;-1.109570753;1.049951192;25.6050166;5.482951892;4.998495902;43.97145209;95.40193459;9.333333;-9.047235435;-6.36055805;-5.12051457
