# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-TraSer
# prediction_type;rolling
# method; Part-GFS_te(n_components=11)
"Cons-TraSer";"IP.PCCR";"HCE.AVCE";"EXrateKRW";"Cons.Alc";"Cons.CloFoo";"UrateLabForce";"ExrateNZD";"HStartsVIC";"Cap.BioRes";"HStartsTAS";"IP.ME"
28.70873029;-6.943279444;-13.82397343;-39.88021656;2.36387349;17.81096717;15.666667;-1.702661557;-15.98666766;54.630214;-44.83320106;0.528052882
1.349073791;1.940809242;6.103535082;-0.961834087;5.018886421;-3.902469978;-55.333333;2.822460951;-6.675343075;-32.9299781;25.4304338;18.56003024
8.9232933;11.07469307;-5.159435228;-12.13598339;10.66292378;3.125015895;4.666666;-0.678291998;41.41885409;-0.660611215;55.00242636;-21.20729338
-12.03299292;-4.16473237;-1.015033964;7.683928953;-1.297123147;0.44444449;12;11.58628658;9.468653048;23.12039956;-26.00303727;-34.94945208
10.31710182;14.94104598;-11.34759595;3.585448534;14.98183087;9.329548999;45.000001;9.621747907;-3.063597088;55.28026472;0;31.74943502
4.995135567;11.91961785;-7.693529726;-14.67363831;5.129271761;5.602030697;-6.666668;3.429645595;24.31861615;-29.89410366;-5.409788138;-7.567793298
15.50234043;-3.933871671;27.86074425;-31.29262268;2.00270012;-10.0750079;-16.666666;1.433636197;-14.93656311;4.078695208;-19.8686439;-0.54607517
5.615440843;-42.42382878;-1.428304063;-22.40227036;-1.539647782;35.56265439;31.666667;-4.252128121;-38.46061915;28.52361108;55.99260218;18.68251496
6.026247724;47.42389389;-14.42218007;-15.89670756;1.539647782;-49.06275039;10;22.53765216;-4.867377535;46.81320675;66.46120257;12.32446656
13.67859737;-21.50859781;20.75925281;5.413171587;12.55538884;26.45319759;-113.000001;-10.30918806;20.41424379;-18.17378253;5.783826106;-0.506008923
27.57355604;2.613168417;0.078800282;16.03968482;3.115165012;17.45731589;77.666668;-18.19751575;4.457635439;6.974024729;-40.87019024;-6.637038037
18.81814548;31.12879874;-14.85990995;-1.717464146;0.443049704;1.724796585;69.333332;4.810283645;42.21569784;24.8884092;3.100268272;-2.064520712
-12.37432012;-19.03442804;11.28847522;-0.672137141;3.234122727;-1.623131824;-83.999999;-8.228688035;21.10877977;56.18713465;-13.10250203;4.630276783
-5.673853997;-8.022146725;-4.104774282;-0.284085913;-3.234122727;3.340523021;9.333333;6.365489394;-6.916985925;-13.53281296;43.97145209;-3.596684477
-3.088818438;14.82320542;2.748705819;13.45640524;5.278668982;4.71006319;-11.333333;-4.701784601;14.65349094;-15.73834053;21.53528783;3.596684477
19.45277954;15.31953982;-0.476360822;3.656784755;1.454018322;-0.598205495;-21.000001;-13.71093001;-16.74758851;-24.60249871;-24.02906161;20.92631575
18.85246549;4.078200152;-9.079013604;-17.29059419;12.15029989;14.50073064;56.000001;-4.661527487;1.201202331;-82.16949571;0.125058497;-19.39472485
3.007532966;-2.033902687;-7.652633531;8.773239337;-3.819657672;14.5504942;6.666666;-17.13872035;-5.307897466;-84.89041113;21.65979242;20.8483909
-6.139257512;32.61789951;3.626906217;26.60221819;4.804013943;0.463660652;24.666667;-12.73413587;22.03885778;-1.403510212;-16.56576476;24.39208106
-29.23771493;-58.22945168;-7.322250919;30.72240867;3.356663054;8.436809782;-106;17.02025147;-2.503682152;75.38154324;34.8559877;12.54302097
30.35178072;1.446656188;-5.060111056;-5.744917452;-5.468972135;0.996941719;22.666667;-0.307164998;16.33622315;138.8086049;49.23237491;-5.327492736
9.49451196;21.09451843;6.519250251;47.33510521;5.468972135;12.73907909;31.333333;4.723076667;-5.743645009;16.92095188;-35.87925736;1.783726479
22.09445139;-0.342612441;4.937371835;12.45600911;11.53134076;9.273516851;-27.66667;-1.568170645;-41.38398304;11.27930834;-59.22356825;3.984537652
-1.498129092;-9.714267536;-2.227039642;-32.01135901;4.708310625;7.63705846;34.33334;-2.835931449;-13.40733472;1.14887585;7.791637877;2.196600797
7.987263295;18.8633322;9.861138083;-3.493188154;6.894436507;6.58554002;-6;-16.834944;16.97658544;-12.82285615;-8.299574707;-20.67876153
-1.566280937;-11.90058025;4.885297259;0.987682993;10.76414443;3.621423913;43.66666;2.357860199;4.833193775;-30.34241002;-12.12604938;5.498368362
6.228658028;-14.76441771;-20.39124211;-13.60799894;-3.598996002;15.19322594;19.66667;0.048974839;33.14102182;-3.422480772;32.31922083;19.97086958
5.6853749;2.854606228;20.79358757;-8.220067511;9.316101425;0.945440661;-12.33333;-4.729119123;17.00302805;19.7001571;20.83129899;8.565637802
-0.537996046;7.746720996;-1.150049318;3.646788868;3.766506173;8.255744768;-36.00001;8.276030456;-9.891308184;52.79858916;-16.38614148;13.33456811
8.610118299;-19.28945158;-7.037725713;-11.08368245;-2.255645075;1.84580216;-24.33332;-13.37529405;20.36848054;-10.89985698;-2.998065182;-11.22151512
-5.838228365;-1.834024304;7.491018291;-26.65438629;1.755488711;7.449854262;16.66666;24.3509536;-9.053430181;-10.07046196;36.66599665;-12.8490705
19.05329184;9.446397229;-3.058175876;0.420994568;6.330620889;16.23539583;22.66666;23.73281239;11.99999999;-13.05298161;-2.423582077;-4.816697502
6.4055309;-39.20272426;2.976756789;5.962114686;9.131426829;6.456381203;27.66668;-4.970816019;20.06783761;-15.92250016;19.62128708;4.381204808
15.09613119;36.68132915;-4.900157386;3.808548414;0.240673894;5.933359718;-64.33334;-13.54236339;-12.55322205;-56.61606889;-25.07263019;12.86284465
19.33198835;4.670012632;0.916458246;6.45189877;0.120282665;3.212307767;40;-6.615216906;0.096669632;-14.28723304;-10.32534982;-1.691334444
27.78122591;6.025811785;1.539953099;16.19251119;1.680170487;2.150356345;3.33333;-3.247553191;13.75678849;24.44944242;44.34503712;-3.831854743
11.98538729;-12.50660162;-1.678500187;8.281113077;6.415343929;11.7254476;-0.66666;11.82734767;-6.03156543;63.54538146;3.686662042;-4.733783059
21.03790262;6.837773344;-6.427997102;17.64238733;1.17681756;4.409598691;8.66666;4.416876234;17.53824998;-15.47044576;17.74524708;1.727864458
1.184406195;7.423986858;-7.887859188;25.58885863;5.253249297;5.870333739;-15.66666;-3.860644613;4.520535801;-6.524099775;3.591821441;21.80833555
-8.969730555;-7.067321653;17.48358303;41.39710797;-10.81464638;-12.23296266;19.33333;26.13228818;-71.8712981;-2.474234693;-81.97926915;22.99939682
19.28242174;-11.94118526;-9.648724134;-9.365330166;1.546010547;7.092858979;-33;2.088156323;-32.23369674;22.12731012;-45.42638468;-16.12011751
-22.45302608;-35.30574119;4.703763059;-25.72006908;5.774146517;0.861283977;-9;-19.84371486;5.353068055;-48.63273083;31.54657927;-21.42633699
-10.29039772;-29.98281298;4.244578276;21.29433455;9.251641091;11.09550662;58.33333;24.1370986;45.41883019;-18.54486996;62.72906501;-22.19166093
-16.52863924;36.35110669;1.94610045;18.78246868;5.90081623;16.27214751;-65.33333;3.888476837;22.4262802;7.339655467;-34.40389265;-8.592755526
11.21201673;-0.790514091;-1.518294072;18.48561646;0.112628468;-4.599895292;-22.33333;-7.674992396;0.135678443;16.03778288;-27.34387803;23.52313857
-0.845964362;15.14008965;-23.63722287;11.64775625;-3.847271526;0.187514653;26.66666;5.225193527;-20.01733629;-49.1928468;-24.11204679;47.11321426
1.057176195;13.11592913;6.773860341;-12.0308196;-3.540351449;7.858555801;7;8.348000821;-33.77052602;10.71927726;-92.0649079;-35.64137118
14.51437742;-20.03252797;2.768667572;-1.317076933;-2.070159882;2.565285934;-20.99999;-8.731142612;-16.90097334;56.82345362;-12.98491046;24.76691506
20.05548668;-11.80026576;3.927016595;18.51831232;1.496189343;7.359580251;49.66666;7.875951276;8.126406254;121.9989615;-10.28334268;-11.17837216
13.39488804;27.75679737;-1.770806047;14.48705909;12.21814446;-2.458225529;14.66666;7.68289989;15.58848035;-1.54024064;-8.776130904;-2.02943104
5.518184081;-17.89922606;-3.004770274;4.854504847;-4.707255221;-7.160385377;-56.99999;9.253063427;-11.16032848;-0.308761111;28.25912641;-6.150813148
11.77090851;19.01498689;-5.274179928;8.640067497;14.39402469;3.171231735;-44.33334;-4.286078689;8.602243785;-6.225806616;-5.494363181;-19.04114111
0.955509562;13.15186965;7.115082167;-2.673646076;-0.762008667;-7.727931258;75.33334;-16.74247503;-6.378557083;-28.94395121;-1.848354442;35.63431434
8.498401692;-15.01320386;6.78887908;3.609585616;2.714819706;4.189165041;-44.33334;14.03252696;-2.986382275;-50.62776606;-15.10260901;-14.94368636
14.11303709;10.67711804;-2.533231518;11.90729655;-1.409406527;10.1654238;26.33334;-8.616208691;9.759557241;-20.0139831;-25.08149534;26.27810371
