# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Emp-HoursFt
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=3)
# prediction_type; rolling
Emp-HoursFt;HCE-ITA;Cons-Food;ExrateNZD
-4.372141064;-3.9430943419999998;2.671560076;-19.84371486
-1.6646836059999999;-13.2466607;3.974179372;24.1370986
-5.139896661;-1.727127117;5.9929375910000005;3.888476837
-3.242389188;0.16144377099999999;0.73239015;-7.674992396
3.694672994;17.4768077;2.105981355;5.225193527
0.668264255;0.230883815;-4.454365728;8.348000821
5.371713732999999;-10.89268284;6.321685888999999;-8.731142612000001
2.536596308;-4.342841748000001;6.080642977999999;7.875951276
3.382953756;3.079865269;1.038406325;7.68289989
3.17987495;8.339516323;0.914007557;9.253063427
-2.499734604;-4.3672890419999995;0.162271807;-4.286078689
4.210899185;4.32012054;4.637382452;-16.74247503
2.8943532010000004;-13.40693105;5.4354884320000005;14.03252696
-1.5380909719999998;1.8285468459999998;7.4838112070000005;-8.616208691
-2.320049412;10.90385852;0.9886360409999999;-0.770773147
