# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; BusInv
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=3)
# prediction_type; rolling
BusInv;UrateLabForce;IP-PCCR;IP-WPP
10.02453968;14.66666;27.75679737;-15.09613119
19.13632431;-56.999990000000004;-17.89922606;-3.6798787589999997
11.48839759;-44.33334;19.01498689;-16.22098732
45.78322037;75.33334;13.15186965;-6.598888134
-7.140033579;-44.33334;-15.01320386;13.0906774
34.58805645;26.333340000000003;10.67711804;-41.89176069
10.47984037;-12.66667;-34.90364655;11.60703199
2.3493617959999997;4.0;6.293148488;-12.02786317
-24.69969387;1.66667;-9.477244902999999;7.094604342999999
5.805235398;33.66666;-6.039369885;25.24623431
28.14471317;-43.66666;0.810537258;8.833772364
-24.64734871;-28.66667;-12.75172252;-27.10904603
-15.83400615;0.33333;-14.03652792;-2.446490807
3.0850206019999997;51.66667;5.588484239;21.10992559
5.233873127;-12.33333;-1.711232556;17.46007726
