# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"EXrateKRW";"HStartsVIC";"IP.TCO";"UrateLabForce";"ResInv";"Gov.Nat";"EXrateIDR";"HStartsTotal";"HSexfinNum";"HCE.ParAcc"
41.39710797;-71.8712981;-6.584510822;19.33333;7.299254266;4.693630949;16.99091154;-71.07640469;-78.02118543;-6.201674614
-9.365330166;-32.23369674;-14.07604776;-33;8.377883914;24.65263125;-37.47162349;-29.21613059;-23.67534607;9.125871106
-25.72006908;5.353068055;-20.2760996;-9;-6.650428335;-0.871836341;-20.28882615;15.22948762;27.26640903;-1.466062573
21.29433455;45.41883019;24.26757962;58.33333;-13.03171918;-9.110797128;3.120997478;58.40193489;78.95715905;3.151660422
18.78246868;22.4262802;-58.22354156;-65.33333;-18.21672074;-4.489575096;20.08549253;24.00504676;31.29089297;-4.300643622
18.48561646;0.135678443;-40.36165591;-22.33333;24.41351639;2.885892924;15.6298351;-16.23875152;-8.295471796;-2.894527472
11.64775625;-20.01733629;14.61186963;26.66666;14.45954777;2.512391019;10.42603461;-36.59971786;-37.38029161;-3.616297861
-12.0308196;-33.77052602;-23.04867941;7;-0.55639281;6.865977016;-13.35948736;-58.87845013;-70.10658768;-1.201803608
-1.317076933;-16.90097334;-10.13662878;-20.99999;16.31951803;11.61059307;-18.05063587;-21.851922;-28.68911611;0.800398657
18.51831232;8.126406254;17.11889151;49.66666;8.527604209;-0.385387424;13.82000506;2.748645866;-7.166827391;-0.00040322
14.48705909;15.58848035;-11.45574831;14.66666;-6.195883519;10.77805122;28.26393302;14.98403325;7.681855604;1.205021292
4.854504847;-11.16032848;-30.36476787;-56.99999;8.131564103;3.363719892;5.952624312;-17.93501319;-19.51203758;-0.402210581
8.640067497;8.602243785;29.61429861;-44.33334;7.416178256;3.39717916;11.29969031;15.04651339;5.483981236;-1.203410031
-2.673646076;-6.378557083;-16.48532295;75.33334;-5.079773561;-1.417130256;-9.093788746;6.612329379;-1.532604513;2.40561605
3.609585616;-2.986382275;-30.90968068;-44.33334;-3.749180908;5.379906753;9.829149334;17.97660907;24.00151163;-2.003408692
11.90729655;9.759557241;50.01550903;26.33334;-12.96717157;2.00463611;16.96501862;-0.58813261;-12.09618467;-0.000400801
-9.860024281;7.123460839;-25.02017956;-12.66667;-11.68432668;9.298391783;-5.575439174;-4.232595788;0.879790559;1.601202136
2.894123554;-3.187698265;-40.95431942;4;1.387044099;-17.90383775;17.78618372;1.768783349;13.29252721;0.39461527
-17.6898032;6.691745749;47.65068457;1.66667;9.824695388;1.483142559;2.0704327;2.119849292;3.653944497;-0.799987581
4.416503583;11.42183557;6.586105206;33.66666;-6.973289235;4.980621022;2.391001041;12.70604066;17.50413966;-0.398206525
-13.77994937;11.3668405;-6.195670817;-43.66666;16.43052057;-2.26041075;-19.74922315;25.37958863;22.90057772;-1.58927362
-35.904072;26.66484602;19.42313966;-28.66667;3.699372416;11.66765109;15.78299633;9.733005999;6.614409285;0.794043159
-13.82479023;-13.00312104;14.95842334;0.33333;7.08365343;2.018032993;33.24883464;5.223758171;9.053149958;3.177375604
-2.8905921;-3.590539279;-69.43452794;51.66667;18.85702139;4.445144362;-11.29754111;-2.564792994;-0.902171231;-0.412296696
-3.107149501;0.863889012;21.15578557;-12.33333;10.06228232;-3.927440675;14.44846709;-3.080967644;-1.157001424;-0.01392285
-4.756632778;5.22195521;31.8305594;12.33333;0.099554494;1.872918053;-4.470143414;0.791859121;-5.939159736;-1.571697713
-8.299933043;11.41189898;-50.43856565;-27.33334;19.42883831;-1.223039762;-14.79320842;7.222128449;4.434204433;-1.171684638
