# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; COMMP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling
COMMP;Imports;PIMP;PEXP;Exrateavg;ExrateSGD
19.99134633;-5.567997107;-3.1038288410000003;-2.0252189609999998;1.081081712;3.1888846969999998
-21.44466713;0.622507664;-0.67637368;-0.17281861699999998;-5.434866246;-9.49608134
-13.11820205;5.5593984370000005;1.945702359;4.306167183;8.392862946000001;16.42340518
15.30325014;18.54177734;12.06667421;15.18774044;11.09714499;5.285954818
-18.07461402;13.21273884;14.60442398;12.96250209;11.30454164;17.66805512
28.97941461;5.824293212000001;-12.58578631;-13.12250969;-12.34824744;-11.85715165
-3.2701090280000003;27.98940961;8.532922147;10.03360334;6.735910497000001;7.058765305
-21.48826287;2.58424676;16.3078398;15.97392513;17.59077413;24.90417108
-30.3342355;3.8079691189999996;24.59729538;25.89263071;25.01559276;33.00184954
42.95514017;12.12357386;12.49315662;10.39629344;3.449288405;4.642398711
