# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"EXrateKRW";"HSexfinNum";"ResInv";"Cap.MacEqu";"HStartsNSW";"Cons.PurVeh";"ExrateMYR";"Cons.Edu";"HSexfinVal";"HStartsTotal";"Gov.NatLoc";"HStartsVIC";"EXrateIDR";"ExrateCNY";"M1";"Credit.Per"
-1.112471126;30.07964686;3.385937878;18.94046229;31.70073304;10.84213871;7.402302297;9.439735984;37.13648994;26.90914797;3.840453272;40.90929125;0.285476401;0.553527929;6.954166269;2.978905068
26.05987841;30.56576559;12.19533033;35.23356462;26.77098505;0;43.27656321;-25.13749442;36.14629935;30.83621747;2.938112063;17.28053265;31.10137359;188.5559409;3.123658734;4.561675281
8.077317022;1.069066363;28.56718198;0.101419879;14.41096998;0.248678901;-6.237251876;28.89771396;9.323164234;3.351648874;4.116283707;-5.815678203;12.902948;7.138425975;-5.980579256;-3.635334574
4.929039947;-43.56879882;1.712591526;17.07243368;-43.02138103;-2.243695506;0.378250619;5.461871322;-39.09013136;-52.44706316;2.050417196;-46.32255269;11.34172378;3.486283855;-3.27718996;-13.36103031
7.995699294;-34.96908981;0.110238391;15.62661498;-23.43674701;29.3931107;9.033948345;-14.42150445;-31.7968135;-28.87210469;-2.487690758;-41.0045643;15.11760581;8.157054049;-6.179727896;25.38637422
-15.86063293;-53.39371101;-15.62215681;4.460494589;-31.68763307;51.57909318;-11.75268164;-2.900551661;-43.10767357;-52.57236295;2.407164114;-53.08880148;-7.243658714;-13.83246892;-6.86706625;-5.798947243
-25.54240457;-11.17411801;-15.72037824;21.14752452;6.755667379;4.063011063;-28.20181225;18.45061888;2.673243142;0.208806617;16.13160014;-29.68845359;-9.201473886;-17.82449385;4.047024281;3.736821493
20.74487737;17.69490555;2.969134773;-14.27607748;3.401116387;-59.37608702;22.09319661;1.27520033;11.48696028;29.30782995;-8.44243017;48.55313748;22.38289626;15.7775792;7.458928362;-1.866170247
2.297432735;-4.488360191;-23.89133469;-13.06445823;11.28723158;27.62840958;9.121296774;4.394420885;-1.852834626;7.181546981;12.5365057;21.3431826;5.618508293;0.488107787;2.658220555;-11.30208232
13.98054287;6.800945763;-13.28134774;63.7597335;5.377709833;13.13004619;7.622710134;-8.913391938;13.63021657;8.687988549;9.203463598;33.30033865;13.26088292;7.314058234;3.879205847;5.835044616
19.09192803;-19.0642992;-1.365743949;-3.012213642;0.811301131;12.71271362;6.414300353;-4.111189598;-13.31351569;-18.359802;4.123824604;-28.11909517;14.35692896;14.73105623;-3.525718078;3.904410569
10.24292378;11.4716614;1.690234922;-20.85270482;52.86425207;8.323061003;-2.364445593;12.80229756;13.38722244;36.97314451;-3.301624932;37.17880021;-1.303876562;-3.704248136;-2.928718188;9.07210996
14.40730015;14.8595667;9.487624269;-0.297413578;-14.87614779;0.602258583;11.77067491;10.09932901;23.85135049;-16.77715745;2.782904616;-33.57806623;8.11590804;6.872617496;9.247524201;-12.08784201
6.165137367;11.58272717;22.65918152;-2.344547662;22.69088881;24.50936686;-19.66916699;13.15089569;28.177318;11.47194748;2.925653026;-0.699678222;-4.576381631;-12.89950397;-9.115407126;1.985681324
1.130246895;2.72760194;16.41977818;75.79703644;-12.37150403;21.84529957;-1.159069114;-0.48981026;9.970747088;5.107405585;1.68947088;33.33297533;0.359421428;-6.435206484;5.474131925;-1.961991694
-10.55903723;0.050806554;16.0483203;-20.6141403;1.776569201;27.6090585;45.36945238;4.732959343;15.51482666;-5.464937835;6.297968403;-0.164535703;61.79368907;-16.00600628;2.529602005;-1.364707676
101.8936624;-0.330358012;31.86845285;4.518148213;-10.73835169;32.95227654;51.83096061;10.31389847;8.439612613;-5.947589154;4.477337412;3.685781317;110.0233911;-31.08428086;-3.618427892;7.847323766
73.3306779;-0.004237089;6.571612488;18.00159781;9.497602713;-7.908767038;25.2787916;-5.294494402;-2.766939902;-1.628554648;-0.47120144;-1.770396449;339.2129673;-5.927910444;-11.05609124;0.068909007
-68.05581479;17.38719315;6.317360682;-28.48580569;-0.576288851;32.76332949;-21.24895443;-0.957756572;21.12348655;15.86697322;1.198331793;3.397682824;26.21697912;-24.6901417;7.711635937;-0.639254095
-39.88021656;-35.05062334;7.722625013;3.050431391;-22.05655584;14.03652792;-12.95964069;4.766013831;-14.43904771;-32.09840412;16.94311875;-15.98666766;-11.10601412;-24.48707402;-0.973033379;3.622512959
-0.961834087;8.383166494;8.714733016;-3.731475824;4.232618761;-8.163548652;-3.386696097;7.974131236;23.32848898;4.512247776;-0.696947615;-6.675343075;-146.8264561;21.35631481;-5.667942605;-0.614601914
-12.13598339;27.48611603;6.483580991;4.106464133;14.8484358;-5.00811407;1.688535433;2.645074939;39.28008225;27.02585186;4.339514411;41.41885409;56.27977889;1.717497825;6.904145598;5.323823081
