# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; COMMP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
COMMP;UrateLabForce;ExrateMYR;Cap-BioRes;BusInv
-23.89063558;-36.000009999999996;-9.496420926;52.79858916;20.41573619
-8.455232797;-24.33332;-6.880995714;-10.89985698;21.09598745
5.15261089;16.66666;-9.390408281000001;-10.07046196;1.300021457
-1.237849037;22.66666;1.7918472319999998;-13.05298161;0.5775589010000001
-22.12969152;27.66668;6.1085346110000005;-15.92250016;3.819197917
-9.384680503;-64.33334;3.847419651;-56.61606889;7.451965444
4.255138242;40.0;-8.951556464;-14.28723304;31.02388144
1.496255172;3.33333;14.84100263;24.44944242;15.14977146
-3.386138438;-0.66666;13.33112324;63.54538146;10.5084701
12.79721305;8.66666;5.102585111000001;-15.47044576;0.5634645460000001
18.627049;-15.66666;-6.9223544420000005;-6.524099775;17.28112484
31.64971081;19.33333;16.58388308;-2.474234693;12.44432197
