# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-HCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"Cons-HCR";"HCE.MV";"Imports";"HSexfinVal";"Cons.Com"
4.725558783;-5.754948309;4.503545989;-43.10767357;22.41901599
10.05112288;10.11504028;-3.825688405;2.673243142;1.161103863
10.2865345;-2.643268154;0.859409258;11.48696028;22.81505344
6.598803874;-5.889532944;6.108649365;-1.852834626;15.57243634
-2.072096151;-0.92224943;10.91291319;13.63021657;18.5242103
-5.885985545;0.614911728;11.30433106;-13.31351569;10.66729883
-14.2169636;-7.767234343;0.765029878;13.38722244;9.673990252
-2.465198399;5.249523434;17.17101697;23.85135049;9.21209891
5.728672592;-5.453856223;6.023407657;28.177318;12.4147896
10.77776178;-3.793986951;20.31131047;9.970747088;19.87163561
4.934829772;16.05425496;7.859213888;15.51482666;-4.985163415
7.779754179;-17.29526569;-1.017051101;8.439612613;15.82247968
-8.86629801;16.38211227;17.1916628;-2.766939902;4.171049265
14.40403507;-11.8684355;1.274730288;21.12348655;10.64545941
11.13655372;0.516897729;-0.243174145;-14.43904771;14.09225375
10.8348768;4.457937732;1.471088727;23.32848898;14.92996273
14.20914426;1.747354692;13.5672735;39.28008225;21.0430407
4.727466388;-0.007873294;7.481446761;44.03820021;14.35602657
1.399859551;4.620501432;19.94478404;15.42928782;11.52622122
3.983497785;-9.264905008;5.685452728;37.13043925;12.01489216
1.082948895;8.217504462;15.7707353;-14.47768562;13.86316803
-6.84548912;-1.794529703;2.892047351;-64.00003887;2.653668269
9.076807662;-10.15467045;-0.327039853;-14.82999564;32.69866702
-0.111270806;8.682727671;-12.32986972;5.995979006;3.852357224
7.496774328;9.139909226;-9.573798354;42.96064841;-0.852878788
-4.834780955;0.210533547;-5.567997107;61.35633776;13.43253186
1.948264661;-6.462569308;0.622507664;35.6059235;10.32315358
-12.40149602;1.049951192;5.559398437;13.24758769;2.006357659
0.529200606;1.030643887;18.54177734;10.6625762;6.616095258
12.86117107;-6.993051521;13.21273884;-13.73786441;2.746455125
10.86170205;-0.385286795;5.824293212;-7.64853719;12.82572203
-3.037491704;7.763625111;27.98940961;6.296364249;7.502564427
10.7239336;-5.994493523;2.58424676;30.3273274;2.716059818
0.837258286;-1.78978901;3.807969119;31.72016156;5.620129107
0.243870582;2.115955173;12.12357386;27.42767938;1.332325229
12.54816643;-1.088609882;16.81362854;-12.33229808;4.329567224
4.464069827;-4.404421079;21.77059699;-45.64696906;10.0403913
-3.284475932;7.279545767;11.14763914;17.63633732;9.452889482
0.100946373;-7.040478191;6.000407542;10.40605942;7.56123516
2.214399214;12.97750741;13.81432253;15.78957249;5.881642938
-11.74757662;-11.50040123;9.4617894;31.70438789;6.555732646
14.38212698;1.433818682;10.03976906;-11.79658064;10.90393546
-5.657234764;2.995872842;-1.062527862;18.59124864;9.895049557
6.984596195;-3.433448094;10.8888188;22.24731459;2.66599295
2.015783522;10.26793767;7.786055951;8.665341423;4.471591283
5.69474518;-9.492306665;14.91774835;21.82653457;4.022155559
6.06316535;7.205458562;-4.596514838;2.299096065;1.89644772
5.34146718;-2.2824185;20.13368552;-13.08778384;6.61661797
4.116135453;-0.003191944;16.91294799;21.40586428;2.635763045
1.497661656;-2.256701073;8.313001869;42.91927876;3.776810531
0.591278748;0.751525261;10.97413963;-2.838613441;1.635207279
3.066810764;-0.000355328;12.37092721;-8.941989509;6.663647682
-2.72489055;-1.514075875;18.13184745;-22.89364676;8.315142355
-2.931329872;-0.390118527;19.74533227;-72.15594595;-1.389372706
2.340556707;-1.165271499;-0.154014752;-9.560478064;6.899101692
-12.03454505;-3.537042044;-35.48971924;26.77612533;6.423297587
8.345866201;12.03966252;-31.21559031;90.74648935;-2.882246202
7.466966459;-3.513059814;-0.091010125;35.30598759;-4.179956256
