# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-HoursFt
# prediction_type;rolling
# method; Part-GFS_te(n_components=5)
"Emp-HoursFt";"HCE.ITA";"Cons.Food";"HSexfinNum";"Cap.IntPro";"X90daysBkbills"
-5.139896661;-1.727127117;5.992937591;31.29089297;-3.138077956;-0.193333333
-3.242389188;0.161443771;0.73239015;-8.295471796;1.752128542;0.11
3.694672994;17.4768077;2.105981355;-37.38029161;0.719239855;0.683333333
0.668264255;0.230883815;-4.454365728;-70.10658768;9.635354321;0.276666667
5.371713733;-10.89268284;6.321685889;-28.68911611;7.79035974;0.52
2.536596308;-4.342841748;6.080642978;-7.166827391;-2.069224962;0.05
3.382953756;3.079865269;1.038406325;7.681855604;1.72509663;0.153333333
3.17987495;8.339516323;0.914007557;-19.51203758;10.8199938;-0.02
-2.499734604;-4.367289042;0.162271807;5.483981236;10.81466026;0.03
4.210899185;4.32012054;4.637382452;-1.532604513;15.58074874;-0.086666666
2.894353201;-13.40693105;5.435488432;24.00151163;10.04533128;-0.256666667
-1.538090972;1.828546846;7.483811207;-12.09618467;-2.235009923;-0.213333333
-2.320049412;10.90385852;0.988636041;0.879790559;10.96671605;-0.623333334
-2.195941336;5.128435891;-1.707414312;13.29252721;1.79181187;-0.23
1.111929176;-14.73539295;6.174153065;3.653944497;6.334591846;-0.383333333
-2.190844436;-1.311565432;6.965609818;17.50413966;-6.292027334;-0.17
0.62633384;13.74425179;2.681616194;22.90057772;5.705025132;-0.12
2.791421773;-0.498092204;5.051603958;6.614409285;-0.882121649;-0.233333333
-2.766749934;3.015910387;-1.534729723;9.053149958;-5.291362413;-0.053333334
1.435880617;-3.23364736;2.401189331;-0.902171231;7.22109872;0.043333334
2.647690511;12.12457659;0.184111206;-1.157001424;19.44033036;0.053333333
-1.212113753;-30.83816906;-0.8476141;-5.939159736;-21.11783335;-0.043333333
-0.851610414;18.93393226;2.66575731;4.434204433;5.55071769;0.093333333
