# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; ExrateJPY
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=9)
# prediction_type; rolling
ExrateJPY;Hstarts-PDA;Unum-LPT;HStartsSA;UrateLabForce;Cap-BioRes;HStartsTAS;HStartsWA;COMMP;IP-PRM
3.315368077;6.611720912000001;2.839480375;-4.396868787;-10.333333;67.4757632;96.63232936;3.3164630330000002;9.768349433;5.615440842999999
26.7885657;12.90434476;11.78898566;0.312482534;-1.666667;-31.96262055;-61.47609586;7.375874436;-1.3472879819999999;16.74493814
12.982942199999998;28.18930278;-13.97766271;16.86391499;16.666666;-8.58709185;-55.69001184;21.95451662;15.98510786;15.38651233
-15.45204074;18.50040694;-7.466117606;-2.7473815669999997;-43.999999;9.294430672;10.23821888;-15.57235297;-7.379050397;-4.831810262
-15.50894539;12.24017629;-16.31154482;0.172265377;24.0;33.21127584;-17.37978286;-2.464203964;4.626519546;2.077926751
-9.886566797999999;3.274233834;-21.07614539;-3.068792447;24.999999;-39.62281115;-3.53463272;-1.76217364;6.174116178999999;-1.730855146
4.45682738;10.72450287;-23.69329125;-4.450307685;-16.333332000000002;-7.246575002;8.365005773;6.952284165;-18.70773122;-37.05005976
-0.9276442009999999;26.60827304;-7.892108406;20.64891835;17.999999;19.27223756;9.003858806;34.14371088;12.86460699;6.4182594570000004
-14.61241743;-28.73029403;10.77604303;-31.63532082;15.666667000000002;54.630214;-44.83320106;-41.76202141;-8.657331446;-7.94352346
-47.866481799999995;-4.27811554;16.14484738;-13.76282548;-55.333332999999996;-32.9299781;25.430433800000003;8.999397279;-21.41536658;6.818346909
4.981294883;-3.2388840930000002;-7.147190773999999;25.31918471;4.666666;-0.660611215;55.00242636;11.63583667;10.47929144;77.59612025
23.12341066;26.221706;-5.279360256;29.79337198;12.0;23.12039956;-26.00303727;18.25257914;-6.779014204;-16.09684651
-38.75879976;40.51653363;39.63098928;26.9676715;45.000001;55.28026472;0.0;3.750895742;31.92944545;12.67934999
-30.29558689;14.41597477;-38.21002864;33.38913695;-6.666668;-29.89410366;-5.409788138;31.02845309;1.178205617;-11.39317525
0.300578628;12.20138154;40.52390762;3.204475445;-16.666666;4.078695208;-19.8686439;-7.42575605;3.781029637;10.45604089
