# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-MP
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"IP-MP";"HStartsACT";"ExrateGBP";"Unum.LPT";"ExrateNZD";"HStartsWA";"Cap.IntPro";"HCE.ITA";"Cons.PurVeh";"ResInv";"HSexfinNum";"HStartsNT";"Gov.NatLoc";"HStartsTotal";"HCE.TelEqu";"ExrateCNY"
17.56379705;-4.328435518;-2.068036285;-23.69329125;18.89307964;6.952284165;12.90887193;-0.547566164;-7.908767038;6.571612488;-0.004237089;5.248435223;-0.47120144;-1.628554648;-0.416882029;-5.927910444
1.429423796;-29.03234633;-25.44259051;-7.892108406;1.770919002;34.14371088;8.064513719;1.086214739;32.76332949;6.317360682;17.38719315;3.707162735;1.198331793;15.86697322;-3.333783952;-24.6901417
-2.385218755;32.61136713;-28.63814663;10.77604303;-1.702661557;-41.76202141;-15.45019646;-9.303013442;14.03652792;7.722625013;-35.05062334;14.85005309;16.94311875;-32.09840412;-1.287938101;-24.48707402
2.385218755;-0.938747223;22.88010946;16.14484738;2.822460951;8.999397279;10.41183197;7.117834706;-8.163548652;8.714733016;8.383166494;42.78369478;-0.696947615;4.512247776;-0.04469943;21.35631481
0.475341708;58.96593332;12.91846404;-7.147190774;-0.678291998;11.63583667;1.231401691;10.94382787;-5.00811407;6.483580991;27.48611603;44.12014849;4.339514411;27.02585186;-8.338373515;1.717497825
-2.860560463;0.810208922;24.13026912;-5.279360256;11.58628658;18.25257914;0.409626252;3.404275867;13.17166272;3.202802142;35.67304925;28.96818678;4.787899273;30.55883528;11.26397466;18.31322972
-8.706510593;31.13200282;-10.41580096;39.63098928;9.621747907;3.750895742;7.570351002;-9.128182902;-10.15927624;19.44561057;4.166531656;39.50076017;0.093571942;5.110145119;-13.0907387;-5.180392379
-15.45363527;43.65389586;-2.06925718;-38.21002864;3.429645595;31.02845309;2.536300839;1.979232739;19.25057667;17.28065347;23.94749499;-48.92563243;2.172723072;30.51628726;11.1920078;-1.494658342
27.02070633;-9.373837019;-12.61097812;40.52390762;1.433636197;-7.42575605;9.987378227;-37.73423495;7.82223174;44.53686724;-18.22027241;9.158649314;2.887525371;-16.5932278;4.14775473;-16.45131668
-35.23665627;-67.03412393;-1.903858554;-34.79678253;-4.252128121;-55.41626374;18.63750195;35.9900694;-62.61856974;27.20202221;-52.87204713;-100.94448;-1.745919047;-40.31292663;5.029384337;-21.00021523
3.100790722;-59.66067305;0.034696274;-17.04411095;22.53765216;26.92117746;28.67755048;3.666576598;102.2574507;-74.78716838;11.83420916;-26.93665854;-0.464214121;9.963458626;21.70457779;-14.43226839
33.08485769;20.05478627;-20.75660265;0.680354823;-10.30918806;-16.04117616;15.82574307;-4.876408745;-29.74554896;-68.1800403;7.121684983;-38.85801712;3.514589566;17.38799428;-30.63807253;-26.52696265
-32.05657949;-10.17774127;-5.03798928;37.60286459;-18.19751575;22.49759472;17.45771032;10.74303333;-37.25205895;13.23458804;14.56082084;-16.49718337;0.341880363;11.52217444;0.837842782;-7.824510248
9.137453168;28.24702689;-2.971506285;52.52760103;4.810283645;35.91634717;6.420345703;-14.43455591;-14.26643207;14.64804095;44.53914573;53.51780632;4.600004957;42.36508029;-0.443736226;-8.932499694
17.19110481;-11.30755875;-7.336893844;-22.97281963;-8.228688035;-3.41396098;-0.208877289;7.026529487;7.778634414;33.9575913;18.88314839;19.76153971;3.389850796;11.55661138;1.720414702;1.097142854
25.6050166;-16.93946814;4.305584017;10.53332074;6.365489394;-7.757274927;8.271165726;2.316243112;24.52335301;33.33019044;3.56293835;-6.36055805;-1.5231721;-0.34564708;8.166057508;1.390023029
0.450704273;6.753525739;11.4060685;-20.84574212;-4.701784601;11.61166065;3.058118871;30.4127848;20.25749313;22.85233041;-0.032072934;-4.29726604;1.27830701;7.006757302;-7.300256304;5.142805136
-23.181457;61.45336644;11.48025324;-6.026639286;-13.71093001;-11.87068607;6.746541302;-31.91216884;7.977105801;39.41471968;-18.43102662;-25.26373378;2.147121174;-4.707222803;3.389850796;28.79893445
8.500910264;-33.32564985;-27.34382334;20.01668387;-4.661527487;-7.4976314;15.08873481;-1.847558948;-9.670092213;0.679405684;-18.76845451;-67.9738191;2.811064117;-8.774316222;2.474128568;-6.615912098
20.04975487;37.64834725;6.181804526;-4.252749035;-17.13872035;-3.757764109;9.689383761;-3.876057821;-2.618667291;10.61727672;-8.258128383;0;3.221119429;-4.532272995;-3.790361449;8.648561325
-7.175080275;-4.167508275;19.20602505;-29.15649005;-12.73413587;25.63353377;8.450691557;4.172964181;-4.62432896;19.85903386;23.2742039;60.61995926;2.179155458;23.00940781;-1.660181186;26.92861979
23.71715455;-20.04395458;23.23356488;4.485042041;17.02025147;27.42908397;4.477488214;-7.126069602;19.95878846;-15.55243791;8.884932931;105.1860182;5.761955399;11.21865579;-0.000426884;31.07329133
-7.3159651;14.73345098;9.572538252;-7.146986203;-0.307164998;12.9741103;2.084518142;-16.64414007;28.53998934;17.77928335;9.596070241;-59.46410965;5.765577639;20.415218;2.466179963;6.208104323
-13.24624351;-35.14775114;12.54446908;5.13054349;4.723076667;14.71379273;7.965359974;20.51601246;1.76185867;26.9397943;-18.1726031;31.15848333;4.031729084;-6.073774779;-2.469563557;39.01665163
4.908037037;-77.00078281;-2.61856244;2.540803724;-1.568170645;-37.23395596;-1.420329943;-15.77986857;-3.53151205;20.04481657;-55.72577671;28.90577651;3.452808783;-50.810365;-0.000419055;21.29383955
-6.257110828;-12.04210298;-23.45368523;-12.14766976;-2.835931449;-10.00405095;15.78062334;10.95161766;-4.398914894;-0.25037383;-1.697538681;11.81769849;-0.755384586;-10.73997277;1.223448131;-30.60152453
-6.814474861;-22.27083823;-1.975313337;20.53082192;-16.834944;27.97957146;2.386540214;4.471286447;15.24664194;2.96657052;7.435064604;70.05564186;0.683504626;3.422121352;-0.006636829;-2.040466025
8.163548652;-13.37300338;17.30541308;-16.23259386;2.357860199;9.187150855;8.408970597;-3.127256786;3.323325233;-2.632773561;12.88021547;12.27163911;2.150799781;8.032095144;-0.410827691;34.09708052
15.41192287;76.1977594;3.158982103;-0.178173811;0.048974839;21.00929126;10.7548808;4.439060091;14.45737979;-0.278144786;24.7469648;-14.72262722;3.748100013;28.81384916;-0.003680543;5.896247165
-44.2616318;-8.619334502;4.451658854;4.694993643;-4.729119123;9.38961093;8.495610872;-6.206996968;0.220082537;22.16251075;-8.27144587;32.56514486;1.484756455;2.846069487;-4.85710512;-6.259523734
11.88441546;18.19375045;11.60326433;-2.119210255;8.276030456;18.68640562;9.714539351;3.543260487;7.951248877;-4.101243139;7.347956842;57.13456336;4.74706691;9.298259176;0.376935195;-14.33563116
-4.237826573;-7.255568877;-2.124673328;0.353982236;-13.37529405;16.00600732;9.937449748;-10.27856022;-3.248528954;-8.684012136;21.54928176;14.0907211;7.119388467;13.83689527;0.386506171;-9.354085316
20.75393415;2.497006889;-5.679224602;8.835788549;24.3509536;24.19588283;9.401663915;27.08358905;-10.24144038;-10.29650795;0.262069914;-10.37522142;5.848786551;-1.953874647;4.531640362;-4.965692381
