# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;UrateLabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"UrateLabForce";"Cap.BioRes";"Cons.Edu";"IP.TCO";"HStartsTotal";"HStartsWA";"Unum.LFT";"HStartsNT";"HSexfinVal";"IP.NMM";"EXrateKRW";"SPASXAllOrds";"Credit.Bus"
19.33333;-2.474234693;0.607979851;-6.584510822;-71.07640469;-77.61707686;24.03496968;-0.960384615;-72.15594595;9.562208341;41.39710797;-0.419746194;-10.80273229
-33;22.12731012;5.230805083;-14.07604776;-29.21613059;-2.232244428;4.859526422;-50.85663785;-9.560478064;0.349803258;-9.365330166;-47.16034035;-0.141052118
-9;-48.63273083;-1.702556401;-20.2760996;15.22948762;-16.02936913;28.89399344;75.10648657;26.77612533;4.519822102;-25.72006908;-110.0872705;1.236536468
58.33333;-18.54486996;0.501504579;24.26757962;58.40193489;35.93062942;83.48867989;28.52116852;90.74648935;-27.17756382;21.29433455;-37.30014961;-14.12625994
-65.33333;7.339655467;8.430760887;-58.22354156;24.00504676;28.64431242;46.0196691;17.31634179;35.30598759;-13.16526921;18.78246868;43.9995494;-3.314479436
-22.33333;16.03778288;1.616163815;-40.36165591;-16.23875152;-5.006899414;1.868905447;-37.47899725;-2.554973287;9.821078802;18.48561646;63.13159716;0.822577652
26.66666;-49.1928468;5.195824194;14.61186963;-36.59971786;-7.580671696;-13.4679714;-60.48033004;-24.4087994;11.04025923;11.64775625;22.29309661;-4.939240332
7;10.71927726;-2.856636241;-23.04867941;-58.87845013;-64.15673392;-21.43630024;-22.25739663;-48.51787528;-14.78911516;-12.0308196;-2.931014722;8.695979491
-20.99999;56.82345362;2.953114775;-10.13662878;-21.851922;-47.41646444;-4.755511182;-61.11568369;-21.05290393;22.33990117;-1.317076933;-15.24467063;-2.339297985
49.66666;121.9989615;3.696839613;17.11889151;2.748645866;-3.919550567;-20.21306194;-0.847457987;-5.285709074;-13.4009817;18.51831232;-0.858974852;3.048543069
14.66666;-1.54024064;6.259018174;-11.45574831;14.98403325;17.99642547;-1.020408748;-42.47425865;1.571326212;-4.44449017;14.48705909;19.36024269;-1.014701549
-56.99999;-0.308761111;7.041860675;-30.36476787;-17.93501319;-2.518265658;-7.281715352;21.5772329;-12.21836696;1.115760835;4.854504847;12.30808195;4.197096972
-44.33334;-6.225806616;1.752770332;29.61429861;15.04651339;31.95878168;6.194671314;-4.042707068;6.045715179;-10.91832491;8.640067497;-9.763010263;-1.909626895
75.33334;-28.94395121;3.11749429;-16.48532295;6.612329379;11.65298301;17.93657557;11.56921583;-7.357629894;-5.766558305;-2.673646076;-41.2910808;4.863908228
-44.33334;-50.62776606;0.821168172;-30.90968068;17.97660907;17.05121673;4.98903716;33.22981766;7.818483883;-9.006743714;3.609585616;-8.885879677;2.770812632
26.33334;-20.0139831;8.343501102;50.01550903;-0.58813261;27.91684136;-1.696586593;32.17229634;-6.009036541;5.115662447;11.90729655;14.81674132;-3.081183998
-12.66667;7.968390998;0.84712733;-25.02017956;-4.232595788;-2.497787022;-10.58279064;-26.95918989;7.34455614;-26.6765498;-9.860024281;-12.29000639;3.420666523
