# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-Man
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-Man";"HStartsACT";"HStartsVIC";"IP.MP";"Cons.CloFoo";"BusInv";"Unum.LPT";"Cons.InsFin";"COMMP";"IP.WPP";"Unum.LFT"
-6.765488977;-67.03412393;-38.46061915;-35.23665627;35.56265439;22.61345244;-34.79678253;4.756964074;12.08865627;6.70325341;-17.57254095
7.18455659;-59.66067305;-4.867377535;3.100790722;-49.06275039;13.46293074;-17.04411095;-8.149210553;-9.783963733;-40.41385028;-13.88882289
1.254574996;20.05478627;20.41424379;33.08485769;26.45319759;-47.44266517;0.680354823;4.173405186;5.590028468;-1.281025915;11.51809433
-9.720499473;-10.17774127;4.457635439;-32.05657949;17.45731589;20.72154713;37.60286459;0.093636612;-25.38130841;19.40912809;8.847772243
5.101025559;28.24702689;42.21569784;9.137453168;1.724796585;-0.372167236;52.52760103;-0.312207322;19.99134633;-15.57829275;26.02612413
0.84388217;-11.30755875;21.10877977;17.19110481;-1.623131824;11.84417725;-22.97281963;-2.003918086;-21.44466713;1.585416265;11.65104844
8.754909155;-16.93946814;-6.916985925;25.6050166;3.340523021;0.876910532;10.53332074;-4.006500628;-13.11820205;33.37795923;5.413656014
3.694228413;6.753525739;14.65349094;0.450704273;4.71006319;13.55947564;-20.84574212;0.316932114;15.30325014;-20.30286518;-16.16677544
3.660422087;61.45336644;-16.74758851;-23.181457;-0.598205495;15.70935777;-6.026639286;4.2855302;-18.07461402;8.485166656;-19.66422117
0.808898152;-33.32564985;1.201202331;8.500910264;14.50073064;17.72031641;20.01668387;1.688953952;28.97941461;5.361212051;-12.70408403
6.412963012;37.64834725;-5.307897466;20.04975487;14.5504942;24.95353067;-4.252749035;-2.818898206;-3.270109028;-22.51544867;-6.506623953
8.653238142;-4.167508275;22.03885778;-7.175080275;0.463660652;1.918056994;-29.15649005;7.442509672;-21.48826287;24.58111169;7.507360369
-5.090621816;-20.04395458;-2.503682152;23.71715455;8.436809782;4.62826814;4.485042041;0.462516914;-30.3342355;4.68183838;-4.166550434
-1.975312656;14.73345098;16.33622315;-7.3159651;0.996941719;14.17181744;-7.146986203;13.24513933;42.95514017;-23.35993031;-9.955026854
4.332883332;-35.14775114;-5.743645009;-13.24624351;12.73907909;9.345023943;5.13054349;14.69290145;-7.344839074;0.924143653;-17.14170289
5.833841862;-77.00078281;-41.38398304;4.908037037;9.273516851;1.739739458;2.540803724;5.678306291;10.18576008;29.35737249;-16.74753778
