# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsNT
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=3, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
HStartsNT;0;1;2
5.248435223;0.207271716222;-144.923068628;216.322712522
3.707162735;18.6481795597;71.9137320082;2.05756272277
14.85005309;-84.1906867721;59.5636758255;-5.54342128495
42.78369478;17.1048110771;48.8403336552;-134.996525353
44.12014849;96.8881085527;-22.4951563904;19.6827920145
28.96818678;71.43935378;-38.6777653381;-50.1807346177
39.50076017;31.3991367274;35.8523833718;-17.2851112337
-48.92563243;62.846566929;30.664646817;14.452943257
9.158649314;-46.9020528539;26.2271581741;-28.5927601408
-100.94448;-180.699831087;34.2591791628;88.5761578407
-26.93665854;1.41722091594;40.4832926863;15.9414037158
-38.85801712;18.0181686909;69.9612295578;-15.7608494507
-16.49718337;15.4035499245;-2.48380573175;52.4463099928
53.51780632;133.147301796;11.2075145122;40.5546779841
19.76153971;44.7410996852;38.9715977834;-131.385426963
-6.36055805;2.45505258102;-27.1280485622;31.4202896042
-4.29726604;11.6375599379;-27.2826261524;-18.9760941706
-25.26373378;-8.88893425198;-50.687084505;-33.7280138502
-67.9738191;-69.4192925754;44.3080179711;65.9989549587
0.0;0.800982583676;-20.5934324847;27.455662167
60.61995926;65.9485081745;-54.2843552179;-23.6898111739
105.1860182;69.3665931277;-75.872678576;-120.33971854
-59.46410965;45.6287739164;-24.1943939413;3.92125770518
31.15848333;-35.9873746366;-103.453610829;-12.9045098915
28.90577651;-158.061166177;-68.0272724722;-58.0830903147
11.81769849;-37.9936931795;82.815649503;20.1050596231
70.05564186;12.7725783546;13.4159199451;-16.7822792364
12.27163911;11.327366789;-78.7426623433;18.2849089106
-14.72262722;91.8174432714;-8.59228284859;24.9535209089
32.56514486;-5.15517862236;12.7029498831;-21.0990055704
57.13456336;31.6249760017;-3.17628759126;-29.2189147963
14.0907211;26.0241603236;22.9565060057;-15.617878011
-10.37522142;3.25460435194;26.8372854332;-6.26509956264
-11.05151699;28.1332971452;-8.98219187127;7.81080063389
-29.90494379;28.0707190801;-9.48909328459;31.2475442065
-69.02322181;-62.5447383904;-36.1117489872;-0.982477538468
-20.50383135;-4.75331365735;-13.8741291862;22.4691482827
4.025528776;61.3697255553;-62.1349281537;-3.44009112876
16.99046656;-23.2552558576;-23.5985348861;-14.5388532921
-19.40091912;-16.6464519801;-36.7090287361;9.61083926825
-69.66460886;-82.271199561;1.27715077287;17.8976886519
-0.960384615;-203.957520351;-61.0018001495;-10.2008119316
-50.85663785;-107.335020637;84.5684700596;-3.66559028563
75.10648657;35.702093618;332.151532234;70.833881681
28.52116852;218.646014883;25.475391655;67.6261193004
17.31634179;89.5716052026;-164.976298075;-75.5746900632
-37.47899725;-56.8446513923;-96.0864400267;-46.2547260762
-60.48033004;-120.654194155;-87.5029215052;6.16152183862
-22.25739663;-206.177553434;-2.66264126232;-45.2521225786
-61.11568369;-106.067623135;33.532789206;-24.4350812253
-0.847457987;-8.88561814391;-36.0878815347;3.17111766788
-42.47425865;24.6886776871;-83.8932512414;21.7776259912
21.5772329;-49.8517090435;-16.9944906249;-38.8539290987
-4.042707068;28.9632206999;-50.6707710076;-18.3784280064
11.56921583;-0.000162054117022;56.199969865;41.8508090122
33.22981766;31.2524941429;21.9034095238;-0.69578917101
32.17229634;4.37195364057;-38.9194667126;-1.72248766
-26.95918989;-24.2651362425;55.3495173129;-5.42834740987
25.84030804;23.229146088;-30.6428372932;-10.4823216689
17.53705515;6.1889207102;18.3616710973;-8.64945037981
-9.037890095;26.7602785509;-19.7521241406;16.3247405894
-15.27898838;63.6224457082;62.7419315123;-9.25057522286
2.650269951;29.1893120398;87.3211031301;11.8014068692
