# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-TelEqu
# prediction_type;rolling
# method; Part-GFS_te(n_components=13)
"HCE-TelEqu";"IP.NMM";"Cons.Hea";"AveComp";"Cons.TraSer";"HCE.MV";"HCE.ParAcc";"Unum.LFT";"Cons.Final";"Cap.MacEqu";"HStartsQLD";"HCE.MaiRep";"Credit.Per";"EXrateIDR"
5.029384337;-2.473724644;3.422411709;-2.190751463;5.615440843;-1.794529703;1.045861075;-17.57254095;3.200261675;28.20323633;-57.10546597;2.305481887;13.99739304;25.51605619
21.70457779;-1.990053856;20.36940422;4.893718107;6.026247724;-10.15467045;-12.15707522;-13.88882289;4.533574125;7.771070887;39.82638383;2.833775104;-38.43039094;-1.590137889
-30.63807253;-43.14295834;-1.837394136;7.377068365;13.67859737;8.682727671;18.74953516;11.51809433;1.816838897;-24.92504733;14.33398423;1.611958124;35.61415707;9.130744184
0.837842782;-17.6039764;22.26609835;6.123684388;27.57355604;9.139909226;2.700155863;8.847772243;3.9823652;9.669594817;19.79166104;3.16664833;-8.579811921;6.986277347
-0.443736226;26.39553909;6.450823754;3.708564303;18.81814548;0.210533547;4.696040608;26.02612413;2.928703691;2.263423969;64.59119133;-4.512375779;5.641498938;50.45109925
1.720414702;-52.17224598;8.759267861;2.500901323;-12.37432012;-6.462569308;-4.982745755;11.65104844;1.260611179;-2.873697015;32.15652258;-1.664645439;-0.892887608;-81.900097
8.166057508;95.40193459;15.29896571;3.086626696;-5.673853997;1.049951192;-3.194968579;5.413656014;2.870532357;6.361896213;4.509835897;0.492001504;-2.422596038;46.99160099
-7.300256304;7.250953837;-2.53660703;3.623754939;-3.088818438;1.030643887;-3.120952114;-16.16677544;4.857811753;7.148957457;9.62763522;-4.759506086;3.038102431;-9.90199594
3.389850796;11.33487885;4.415174723;6.909594142;19.45277954;-6.993051521;2.582320137;-19.66422117;6.665551306;11.82925342;0.705890077;4.720671943;13.73830719;-18.10168935
2.474128568;3.708021919;16.11026423;3.56410857;18.85246549;-0.385286795;-10.37983801;-12.70408403;5.301534301;-1.915406693;-13.4603149;0.472277938;-11.95612799;-4.60223748
-3.790361449;12.7138966;-11.79626196;-0.888054331;3.007532966;7.763625111;19.69238271;-6.506623953;1.737539097;57.84787584;11.87030713;-3.636685928;-0.869554518;11.631363
-1.660181186;-25.84520472;15.83902649;2.250453468;-6.139257512;-5.994493523;-13.93829202;7.507360369;1.901560332;-11.20427047;36.04387005;2.553275844;1.756369049;19.80018279
-0.000426884;-12.10013619;13.713341;7.745001622;-29.23771493;-1.78978901;6.626545426;-4.166550434;4.345586983;-2.084304655;17.47614857;-0.031807829;-2.060950254;9.202063106
2.466179963;35.2547478;-11.78317853;3.585681382;30.35178072;2.115955173;-5.59706049;-9.955026854;5.175816747;22.97308593;36.50795695;-1.535952001;4.39532055;9.353617947
-2.469563557;-6.349339663;14.38234172;6.003311109;9.49451196;-1.088609882;4.048090797;-17.14170289;8.216166005;-8.412737542;-18.94756525;0.489586878;-2.508044908;39.19980782
-0.000419055;-0.915332207;9.801926881;5.336646775;22.09445139;-4.404421079;-1.525661538;-16.74753778;6.119111563;-3.075765908;-57.64034953;0.975740092;-2.591313356;21.7089566
1.223448131;13.51479903;4.835901025;2.881164918;-1.498129092;7.279545767;-4.025801808;-4.198289268;3.900853069;7.795584681;-1.052857462;-0.521121589;-1.635390229;-2.531328387
-0.006636829;-2.220994046;8.163072639;7.708341528;7.987263295;-7.040478191;4.532432402;-1.174054296;5.303823523;19.3822436;-5.791029147;0.465774387;3.300181752;2.920922205
-0.410827691;-9.921590946;8.813644999;2.557513586;-1.566280937;12.97750741;-0.510413643;-24.91387489;3.829376698;31.78711238;6.415732616;-0.996431753;4.068348045;30.13184129
-0.003680543;14.35131507;-21.19301771;3.528615315;6.228658028;-11.50040123;2.480385033;1.106797761;0.233313997;-9.817039936;40.88399964;1.906114905;-1.69227159;13.07055311
-4.85710512;46.91737583;6.378213449;0.800431268;5.6853749;1.433818682;-2.994989486;-1.715053989;5.404922828;24.01245828;1.610104018;0.427180471;-2.984409119;6.242711358
0.376935195;-17.62046645;-1.97345637;6.830475472;-0.537996046;2.995872842;2.456075647;-6.315825786;2.754253805;13.95503598;17.29615004;-8.089371753;4.776358998;17.33238269
0.386506171;19.96422315;14.5235054;3.162071803;8.610118299;-3.433448094;2.393344606;9.276820284;2.154680085;26.6758281;11.81840417;5.706953758;-4.62261024;-16.33746982
4.531640362;17.15365268;7.648416579;6.072900752;-5.838228365;10.26793767;-5.839519768;-0.604686363;3.423062252;2.399652467;-0.77848926;3.274261366;-2.203460918;-32.3484458
-1.238175783;-4.880398412;3.902469978;1.415617492;19.05329184;-9.492306665;4.801978439;-19.8864427;4.806048562;-20.09379584;14.90393152;-1.928515515;0.955471473;2.655222538
2.047713048;1.13154248;12.98209129;2.670099773;6.4055309;7.205458562;-1.948220793;-2.36387349;3.701804759;-4.664775899;19.1522866;-1.414479428;8.861874194;4.508452633
