# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RecCul
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"Cons-RecCul";"ResInv";"Exports";"Cons.Com";"UrateLabForce";"Cons.CloFoo";"InvLevel";"Unum.LFT";"IP.PRM";"IP.NMM"
6.305084437;-18.21672074;-7.719190565;-4.179956256;-65.33333;16.27214751;-10.47314446;46.0196691;44.89714211;-13.16526921
-2.818567153;24.41351639;4.971475277;2.004560004;-22.33333;-4.599895292;-3.895427746;1.868905447;-39.04694642;9.821078802
1.881249793;14.45954777;9.610822265;1.904117843;26.66666;0.187514653;-9.076073123;-13.4679714;25.65657475;11.04025923
2.360390678;-0.55639281;11.99431472;2.255051637;7;7.858555801;5.499352016;-21.43630024;-9.64732378;-14.78911516
13.71324712;16.31951803;5.922510799;8.455092862;-20.99999;2.565285934;3.171882502;-4.755511182;-10.60132722;22.33990117
4.806085718;8.527604209;-8.296300653;8.62496663;49.66666;7.359580251;3.940947992;-20.21306194;-3.958646795;-13.4009817
7.639138468;-6.195883519;9.842201849;9.033191724;14.66666;-2.458225529;-1.741767517;-1.020408748;1.083522107;-4.44449017
3.007384202;8.131564103;-20.90451754;9.245596404;-56.99999;-7.160385377;12.33994769;-7.281715352;26.85103688;1.115760835
10.13993529;7.416178256;9.176714922;0.904698648;-44.33334;3.171231735;13.68259975;6.194671314;-17.93403811;-10.91832491
1.285526949;-5.079773561;13.07915526;-2.224287474;75.33334;-7.727931258;-1.15638982;17.93657557;6.646414393;-5.766558305
-1.727781531;-3.749180908;11.27247928;3.290845382;-44.33334;4.189165041;4.813475452;4.98903716;-64.21248477;-9.006743714
4.990146692;-12.96717157;-9.231222163;0.900256134;26.33334;10.1654238;3.58825956;-1.696586593;-14.93949572;5.115662447
1.990101004;-11.68432668;15.33113769;0.326864165;-12.66667;3.094793001;3.128862055;-10.58279064;14.12400105;-26.6765498
3.538680083;1.387044099;5.101430144;3.010898155;4;-4.771191204;-1.348098181;31.89476441;15.21705018;24.32360184
-9.097762467;9.824695388;4.551273888;1.214207145;1.66667;1.317761;2.224378424;0.977503512;-3.552070703;-11.57187932
2.312973877;-6.973289235;1.413381917;6.493779257;33.66666;4.164225593;0.149483435;11.68689224;-8.008275492;13.14204817
-4.793691426;16.43052057;16.99567139;3.168333397;-43.66666;5.816361569;1.572979361;23.18704713;-2.027373828;-18.85060581
1.348034592;3.699372416;-2.811197428;-1.343476517;-28.66667;10.81769035;8.820629321;-1.133257197;-3.675370422;-1.646092858
3.902843283;7.08365343;6.594704024;-9.613921623;0.33333;8.815010395;-1.307437707;10.95958965;-0.410466942;15.76757954
-0.323786414;18.85702139;13.11168977;10.79957608;51.66667;-7.059006725;-0.228510701;7.277554484;-8.299052878;2.765443114
6.670127868;10.06228232;-2.596057377;7.273638683;-12.33333;-5.005041839;-3.432695537;3.464746744;-33.66267163;14.3079536
3.581779366;0.099554494;11.506383;13.86277352;12.33333;5.174569284;2.346815953;10.5343903;-15.34179911;6.406166129
8.79842613;19.42883831;5.355366677;0.67321194;-27.33334;3.991319744;-3.880470565;-4.480810789;34.0534511;7.407619107
