# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HCE-OthMot
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
HCE-OthMot;Unum-LPT;ExrateGBP;ResInv;HStartsNT
1.119538651;-16.23259386;17.30541308;-2.632773561;12.27163911
-0.578831768;-0.17817381100000002;3.158982103;-0.27814478600000003;-14.72262722
2.75949472;4.694993643;4.451658854;22.16251075;32.56514486
-7.219612027;-2.119210255;11.60326433;-4.101243139;57.13456336
4.984249288;0.353982236;-2.124673328;-8.684012136;14.090721100000001
1.075366505;8.835788549;-5.679224602000001;-10.29650795;-10.37522142
0.504325252;4.046090756;-9.583221924;20.81142978;-11.05151699
1.5543173319999999;-25.09656876;-6.133027785;-13.13269653;-29.90494379
-2.191092675;-24.54065208;0.165214492;10.98251051;-69.02322181
2.051939994;22.52921937;-1.68839481;13.68392701;-20.50383135
-2.138413274;-9.554077567;16.12571036;-1.00441092;4.025528776
0.987858769;22.62861006;3.774062013;2.185868052;16.99046656
