# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; IP-WPP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=8)
# prediction_type; rolling
IP-WPP;HSexfinVal;HSexfinNum;Imports;HStartsTotal;HStartsNSW;HStartsVIC;TotComp;90daysBkbills
25.40989715;3.39885627;-14.23452082;43.66793099;-14.23452082;-16.65778965;7.449354547;19.13850064;1.26666666
-49.71501867;-24.39990987;-37.62268499;19.97302524;-37.62268499;-30.91000229;-38.10236539;13.82070774;1.83666667
26.36319295;-55.13795777;-55.90363711;12.69568361;-55.90363711;-66.784965;-50.05957235;12.30974891;1.33333333
-34.59133117;-45.75749787;-58.64221748;5.562136829;-58.64221748;-53.28899402;-64.91094175;11.42775902;0.26333334
-25.41060403;4.62230514;9.691773714;-10.05869347;9.691773714;14.80990742;-25.48363361;7.64809692;0.12
-10.00483376;64.22347306;52.146241499999995;2.443878646;52.146241499999995;55.87350702;67.66875848;11.7719134;-1.71
-9.903246767999999;-43.98303508;-38.71066438;-26.77852246;-38.71066438;-57.00246158;-67.49918999;9.979579053;-1.38666667
19.56721983;6.821868257999999;4.653897774;14.79719398;4.653897774;3.763729408;2.631191456;4.219637645;-0.98
-34.89756324;8.634008745;3.636260552;-20.81119527;3.636260552;33.75562661;-8.510959403;-2.069157895;-1.53333333
6.642219046;12.03004248;3.798115585;-2.96364465;3.798115585;-30.35233259;13.12782133;-1.7664558959999999;-0.87666667
17.19154467;68.83741651;47.11136125;1.136511161;47.11136125;56.68982796;48.9851239;-2.759038205;-0.85666667
-12.46206711;19.67126675;21.18582211;10.06070035;46.44667058;55.11002612;38.75676419;1.904278379;-0.80666666
4.316588653;-13.01906573;-15.49937131;12.04104296;-7.5816287760000005;-18.98942998;2.683998935;5.914374262000001;-1.6333333369999998
0.0;26.62461704;19.133575699999998;-6.743945126;24.31921055;16.59347415;-5.770892644;1.281953372;-0.89
-17.92709708;44.60723545;33.81956627;15.81714586;38.49941927;32.37095635;36.84118823;4.957680436;-0.773333333
9.977422593;24.60782703;10.55823618;8.218011471;15.50709959;20.16859815;21.394925399999998;6.496101682000001;-0.95
38.91956439;-1.267908895;-4.989582778;8.83068689;-2.3922830000000004;-16.02611426;30.79797442;3.164313677;0.11
-1.99170536;19.04555608;12.79757975;-5.780347573999999;23.03639513;50.73486496;-1.9614317419999998;1.3580340119999998;-0.18666666699999998
-10.11005798;20.71224457;22.20612752;6.693850682999999;22.83788502;-4.368282549;34.21191506;5.364565529;-0.48
6.432639687000001;24.33379652;2.37973508;10.55802874;10.10562873;12.20712328;20.87887836;-1.5306468080000002;-0.31666666600000004
-0.3359933;37.13648994;30.07964686;0.3553187;26.90914797;31.70073304;40.90929125;4.76304646;-0.093333334
1.342283139;36.14629935;30.56576559;17.71507208;30.83621747;26.77098505;17.28053265;12.217688;0.026666667
0.334868165;9.323164234;1.069066363;15.25025863;3.351648874;14.41096998;-5.815678202999999;10.22047165;0.133333333
16.71689399;-39.09013136;-43.56879882;24.44219341;-52.44706316;-43.02138103;-46.32255269;-2.351411082;0.6833333340000001
-9.419842544;-31.796813500000003;-34.96908981;19.03869764;-28.87210469;-23.43674701;-41.0045643;6.382513756;1.54
-2.307381759;-43.10767357;-53.39371101;4.503545989;-52.57236295;-31.68763307;-53.08880148;10.23772887;1.0066666659999999
9.150725862;2.673243142;-11.17411801;-3.825688405;0.208806617;6.755667379;-29.68845359;3.9363787980000002;-0.48
6.410393606;11.48696028;17.69490555;0.859409258;29.30782995;3.401116387;48.55313748;9.502064938;-0.17
10.9767766;-1.852834626;-4.488360191;6.108649365;7.181546981;11.28723158;21.3431826;9.219066687;-0.09
-4.354630877;13.63021657;6.800945763;10.91291319;8.687988549;5.377709833;33.30033865;3.3736564610000004;0.033333334
-1.880881209;-13.31351569;-19.0642992;11.30433106;-18.359802;0.8113011309999999;-28.11909517;6.529000712999999;0.076666666
